class_0_prob,class_1_prob,class_2_prob,pred_class
0.0002254,0.9956,0.004524,1
0.0001414,0.9893,0.01008,1
0.0002408,0.9946,0.004986,1
0.0002472,0.9956,0.00446,1
0.0003858,0.9976,0.00236,1
0.0003464,0.9976,0.002611,1
0.0003204,0.9966,0.003092,1
0.000267,0.9966,0.003712,1
0.0003126,0.9966,0.00332,1
0.0002995,0.9956,0.003845,1
0.0002832,0.996,0.003708,1
0.0003347,0.9966,0.00274,1
0.0002028,0.9946,0.00531,1
0.0002449,0.9956,0.00426,1
0.000259,0.9956,0.00419,1
0.000541,0.9976,0.001588,1
0.0004187,0.9976,0.002256,1
0.000523,0.9976,0.001712,1
0.0006332,0.9976,0.001488,1
0.000809,0.9985,0.001142,1
0.000645,0.9976,0.001463,1
0.000586,0.9976,0.001606,1
0.0008755,0.9976,0.001155,1
0.0005965,0.9976,0.001594,1
0.0004003,0.9976,0.00233,1
0.0002701,0.9966,0.003706,1
0.0002882,0.9966,0.003273,1
0.0003164,0.9966,0.002928,1
0.0003629,0.9966,0.00273,1
0.0004146,0.997,0.002676,1
0.0002964,0.9956,0.00405,1
0.0002077,0.991,0.00851,1
0.0002133,0.993,0.006824,1
0.000228,0.9927,0.0069,1
0.0001854,0.99,0.00944,1
0.000183,0.9854,0.014404,1
0.0002513,0.9897,0.010086,1
0.0001792,0.9175,0.08215,1
0.0001949,0.966,0.03433,1
0.0002128,0.975,0.02493,1
0.0002627,0.99,0.009476,1
0.0003548,0.995,0.00465,1
0.0002937,0.992,0.007637,1
0.0002832,0.9937,0.006535,1
0.000338,0.996,0.00391,1
0.0004187,0.9976,0.002308,1
0.000664,0.998,0.001319,1
0.0009027,0.9976,0.001065,1
0.0011,0.9976,0.000946,1
0.000984,0.998,0.0009065,1
0.000993,0.9976,0.0009627,1
0.000829,0.9985,0.001036,1
0.0009637,0.9985,0.0009212,1
0.0009246,0.9985,0.000921,1
0.0008416,0.9985,0.000997,1
0.000734,0.9985,0.001137,1
0.0007787,0.998,0.001192,1
0.0004067,0.9976,0.00235,1
0.0002599,0.9927,0.006912,1
0.0002412,0.99,0.00947,1
0.0001619,0.9844,0.01516,1
0.000228,0.993,0.00629,1
0.000295,0.9966,0.00326,1
0.0003407,0.9976,0.002638,1
0.000403,0.9976,0.00197,1
0.0003438,0.9966,0.002745,1
0.000485,0.9976,0.001764,1
0.000486,0.9976,0.001673,1
0.00086,0.9985,0.001118,1
0.00081,0.998,0.001225,1
0.001004,0.9976,0.00129,1
0.00052,0.997,0.002779,1
0.000412,0.9946,0.005226,1
0.0003412,0.9897,0.00957,1
0.0003777,0.993,0.006542,1
0.000295,0.992,0.007244,1
0.0003812,0.9946,0.005276,1
0.0002456,0.983,0.0168,1
0.0002323,0.9883,0.01132,1
0.0002195,0.988,0.011986,1
0.0002276,0.992,0.00768,1
0.0003052,0.995,0.00452,1
0.0002856,0.995,0.00414,1
0.0001763,0.9873,0.0126,1
0.000344,0.996,0.003273,1
0.0006895,0.9976,0.0014515,1
0.000693,0.9976,0.001555,1
0.000889,0.9976,0.001251,1
0.001091,0.9976,0.000919,1
0.001157,0.9976,0.000922,1
0.00171,0.9976,0.0007367,1
0.001479,0.998,0.000763,1
0.001387,0.9976,0.000835,1
0.00164,0.9976,0.000766,1
0.001143,0.9976,0.0009613,1
0.001148,0.9976,0.0009236,1
0.001121,0.9976,0.0009604,1
0.0007644,0.9976,0.001352,1
0.000557,0.9976,0.00183,1
0.0006413,0.9976,0.001542,1
0.000613,0.9976,0.0017605,1
0.0008445,0.9976,0.00139,1
0.000775,0.9976,0.001679,1
0.0007243,0.9976,0.001454,1
0.0007906,0.9976,0.00135,1
0.000978,0.9976,0.001175,1
0.001398,0.9976,0.000982,1
0.00131,0.9976,0.001086,1
0.001022,0.9976,0.001217,1
0.001374,0.9976,0.000937,1
0.0008235,0.9976,0.001327,1
0.0004082,0.997,0.002586,1
0.0002759,0.9956,0.004173,1
0.0002381,0.9946,0.005047,1
0.0001754,0.99,0.00985,1
0.0002006,0.9917,0.007748,1
0.0001636,0.987,0.01312,1
0.0001826,0.9893,0.010925,1
0.0001558,0.9736,0.02597,1
0.0001488,0.8906,0.10895,1
0.0001965,0.9863,0.0133,1
0.000286,0.995,0.005215,1
0.0002763,0.995,0.00423,1
0.0003002,0.996,0.003588,1
0.0004466,0.9976,0.002178,1
0.000452,0.9976,0.002256,1
0.000748,0.9976,0.00137,1
0.000719,0.9976,0.00175,1
0.001065,0.9976,0.001215,1
0.0012245,0.9976,0.001091,1
0.001559,0.9976,0.0009665,1
0.001037,0.9976,0.001252,1
0.001055,0.9976,0.0012865,1
0.001361,0.9976,0.001045,1
0.001121,0.9976,0.001042,1
0.0008364,0.9976,0.00152,1
0.0003078,0.9937,0.00638,1
0.0003002,0.994,0.005264,1
0.0002359,0.991,0.00786,1
0.0002587,0.9927,0.007343,1
0.0003228,0.995,0.00414,1
0.000444,0.997,0.002756,1
0.0002565,0.994,0.005474,1
0.000259,0.9937,0.00657,1
0.0003026,0.9937,0.006115,1
0.0003178,0.9937,0.006454,1
0.0004222,0.996,0.003674,1
0.0004487,0.996,0.003891,1
0.000494,0.996,0.002905,1
0.000541,0.996,0.002996,1
0.000637,0.997,0.002127,1
0.0004287,0.997,0.002724,1
0.00075,0.9976,0.001363,1
0.0006475,0.9976,0.001571,1
0.0007114,0.998,0.001377,1
0.0006084,0.9976,0.001628,1
0.0004268,0.997,0.002447,1
0.0003963,0.996,0.003105,1
0.0002067,0.99,0.00962,1
0.0002956,0.995,0.004604,1
0.000216,0.991,0.0081,1
0.0002708,0.995,0.004765,1
0.000203,0.9897,0.01018,1
0.0001955,0.9463,0.05353,1
0.0001931,0.973,0.02657,1
0.0002269,0.6855,0.3137,1
0.0002191,0.6436,0.3564,1
0.000201,0.5303,0.4695,1
0.0002124,0.3958,0.6045,2
0.0001891,0.3833,0.6167,2
0.0002025,0.4663,0.534,2
0.000176,0.832,0.1678,1
0.0002091,0.5415,0.4583,1
0.0001446,0.8984,0.10144,1
0.0001312,0.915,0.0846,1
0.00016,0.9653,0.03476,1
0.0002033,0.7373,0.2622,1
0.0002028,0.7686,0.2312,1
0.0002195,0.459,0.5405,2
0.0002186,0.7783,0.2216,1
0.0002316,0.6846,0.315,1
0.0001739,0.9336,0.0662,1
0.0001806,0.922,0.07837,1
0.0002095,0.988,0.011696,1
0.0002109,0.965,0.03488,1
0.0001892,0.9336,0.0662,1
0.0002121,0.7305,0.2693,1
0.0001737,0.9053,0.09485,1
0.000206,0.974,0.0256,1
