class_0_prob,class_1_prob,class_2_prob,pred_class
0.3687,0.6284,0.002922,1
0.8843,0.1137,0.00254,0
0.956,0.04108,0.003115,0
0.981,0.01656,0.002134,0
0.9854,0.01256,0.002018,0
0.97,0.0281,0.002098,0
0.953,0.04538,0.001974,0
0.9365,0.06018,0.002808,0
0.906,0.0924,0.00184,0
0.8076,0.1906,0.001429,0
0.6343,0.3645,0.001298,0
0.6714,0.3274,0.001429,0
0.7954,0.2034,0.00129,0
0.8574,0.1407,0.001381,0
0.8213,0.1774,0.001496,0
0.808,0.1906,0.001628,0
0.8955,0.1026,0.001909,0
0.9688,0.02953,0.00167,0
0.9736,0.02438,0.001739,0
0.9917,0.00569,0.002213,0
0.982,0.01599,0.0021,0
0.9644,0.03418,0.001968,0
0.9697,0.02899,0.001291,0
0.937,0.06067,0.002148,0
0.9614,0.03558,0.00276,0
0.9624,0.0356,0.002033,0
0.975,0.02138,0.003408,0
0.9863,0.00919,0.004395,0
0.989,0.00726,0.003956,0
0.99,0.005497,0.004223,0
0.9863,0.00786,0.00633,0
0.9756,0.01066,0.01423,0
0.9893,0.002354,0.00847,0
0.9893,0.00469,0.005978,0
0.9067,0.08875,0.005093,0
0.9404,0.0448,0.01462,0
0.777,0.2068,0.01666,0
0.9375,0.0593,0.00357,0
0.9033,0.09436,0.002449,0
0.925,0.07416,0.001515,0
0.931,0.0669,0.001784,0
0.975,0.02377,0.001377,0
0.989,0.010124,0.001461,0
0.992,0.005825,0.001908,0
0.985,0.01316,0.002096,0
0.9814,0.01654,0.002249,0
0.9873,0.010345,0.002237,0
0.966,0.0324,0.001913,0
0.979,0.01933,0.001606,0
0.9854,0.01218,0.00269,0
0.9863,0.0113,0.002125,0
0.9907,0.006012,0.003092,0
0.992,0.004417,0.003376,0
0.992,0.004185,0.00344,0
0.9937,0.003248,0.00265,0
0.992,0.003933,0.003645,0
0.9937,0.002365,0.003904,0
0.993,0.002712,0.00422,0
0.993,0.002598,0.003914,0
0.992,0.003653,0.00442,0
0.988,0.008,0.00465,0
0.9917,0.00519,0.003271,0
0.9863,0.010574,0.003136,0
0.973,0.02403,0.002388,0
0.962,0.03455,0.003265,0
0.907,0.0901,0.002838,0
0.956,0.04108,0.00302,0
0.9546,0.02795,0.0179,0
0.948,0.04706,0.00491,0
0.9863,0.01018,0.003578,0
0.981,0.01642,0.00261,0
0.987,0.010864,0.00238,0
0.99,0.0067,0.002995,0
0.9717,0.02498,0.00365,0
0.863,0.1354,0.002277,0
0.7305,0.2524,0.01688,0
0.392,0.6055,0.002195,1
0.10913,0.8896,0.001462,1
0.03235,0.966,0.001359,1
0.06287,0.9355,0.001261,1
0.00998,0.9883,0.001622,1
0.281,0.709,0.00976,1
0.09503,0.8833,0.02155,1
0.833,0.1304,0.03668,0
0.0611,0.919,0.0199,1
0.02185,0.81,0.1678,1
0.01228,0.6997,0.2886,1
0.7886,0.02347,0.1875,0
0.311,0.06366,0.6255,2
0.08417,0.006336,0.909,2
0.2888,0.04117,0.67,2
0.908,0.089,0.002468,0
0.873,0.12384,0.002913,0
0.4587,0.4585,0.08295,0
0.6553,0.1394,0.2051,0
0.9375,0.05606,0.0061,0
