class_0_prob,class_1_prob,class_2_prob,pred_class
0.118,0.881,0.0007606,1
0.07605,0.923,0.0006967,1
0.01531,0.984,0.000618,1
0.02011,0.979,0.000799,1
0.014565,0.985,0.000813,1
0.02666,0.9727,0.0007,1
0.02809,0.971,0.000701,1
0.01021,0.989,0.0007787,1
0.00566,0.993,0.0009365,1
0.2263,0.7725,0.001104,1
0.8013,0.1973,0.001502,0
0.1101,0.8887,0.000987,1
0.761,0.2375,0.001391,0
0.904,0.0945,0.001748,0
0.945,0.05316,0.002064,0
0.949,0.0483,0.00238,0
0.9785,0.01802,0.003067,0
0.9604,0.03635,0.003172,0
0.9653,0.03032,0.004227,0
0.8677,0.13,0.002092,0
0.874,0.1243,0.001886,0
0.805,0.1934,0.001916,0
0.926,0.0723,0.00178,0
0.9785,0.01921,0.001926,0
0.982,0.01682,0.001713,0
0.951,0.0477,0.001354,0
0.801,0.1982,0.0009336,0
0.906,0.0937,0.000918,0
0.9814,0.01788,0.0009713,0
0.9727,0.02383,0.004055,0
0.99,0.00544,0.003952,0
0.9785,0.01915,0.001901,0
0.9727,0.02505,0.002522,0
0.987,0.0103,0.002844,0
0.9883,0.008064,0.003885,0
0.9785,0.01688,0.00444,0
0.9897,0.00718,0.003101,0
0.986,0.01131,0.002764,0
0.9775,0.01852,0.004005,0
0.98,0.008125,0.01251,0
0.7847,0.1289,0.08624,0
0.884,0.007904,0.10864,0
0.946,0.0378,0.01662,0
0.7056,0.2847,0.00984,0
0.3398,0.599,0.06052,1
0.596,0.3984,0.005623,0
0.6797,0.3015,0.01904,0
0.1349,0.7886,0.0766,1
0.606,0.3777,0.01625,0
0.884,0.1085,0.00772,0
0.98,0.01782,0.00223,0
0.9834,0.014015,0.00234,0
0.993,0.005604,0.00137,0
0.995,0.003716,0.0009756,0
0.993,0.00546,0.001147,0
0.9946,0.004055,0.000867,0
0.989,0.00987,0.001018,0
0.991,0.00806,0.000839,0
0.994,0.005234,0.0009203,0
0.992,0.006657,0.001093,0
0.986,0.013306,0.001031,0
0.9756,0.0233,0.001399,0
0.9556,0.0433,0.001247,0
0.959,0.0399,0.001219,0
0.9365,0.06216,0.001039,0
0.8643,0.135,0.001199,0
0.9585,0.0409,0.00084,0
0.92,0.0792,0.001025,0
0.9614,0.03802,0.00097,0
0.945,0.05405,0.001244,0
0.98,0.01927,0.000986,0
0.9893,0.00979,0.0011015,0
0.996,0.002495,0.001583,0
0.994,0.000937,0.0049,0
0.9956,0.000736,0.003798,0
0.9917,0.000952,0.007347,0
0.9917,0.001086,0.007053,0
0.9917,0.001061,0.007027,0
0.5093,0.00134,0.4893,0
0.9956,0.001599,0.00282,0
0.992,0.00468,0.003023,0
0.9893,0.007435,0.002975,0
0.9883,0.01034,0.001644,0
0.978,0.02039,0.001385,0
0.9746,0.02415,0.001514,0
0.9146,0.08417,0.0007963,0
0.9272,0.0714,0.001175,0
0.981,0.01741,0.001377,0
0.8696,0.1294,0.000985,0
0.9805,0.01912,0.0008206,0
0.9575,0.04166,0.00071,0
0.984,0.01506,0.000826,0
0.991,0.008156,0.000831,0
0.985,0.014336,0.0007167,0
0.9907,0.00841,0.000935,0
0.9395,0.05963,0.000832,0
0.95,0.04913,0.000912,0
0.781,0.218,0.001064,0
0.9233,0.07544,0.00113,0
0.8945,0.10394,0.001559,0
0.9756,0.02325,0.001042,0
0.976,0.02296,0.000987,0
0.921,0.0742,0.00474,0
0.8145,0.1825,0.003109,0
0.867,0.1288,0.003893,0
0.842,0.1549,0.002785,0
0.916,0.07806,0.00579,0
0.9434,0.04782,0.009346,0
0.888,0.1013,0.010704,0
0.8857,0.1071,0.00735,0
0.943,0.04764,0.0098,0
0.962,0.02573,0.012596,0
0.9824,0.010315,0.00677,0
0.9536,0.03986,0.00686,0
0.9727,0.02164,0.005924,0
0.969,0.02365,0.007046,0
0.978,0.01531,0.006546,0
0.9814,0.01296,0.00571,0
0.963,0.03217,0.004654,0
0.996,0.001862,0.001903,0
0.995,0.002752,0.002026,0
0.9956,0.002235,0.002022,0
0.996,0.001874,0.002031,0
0.9966,0.00179,0.001231,0
0.9966,0.002254,0.001039,0
0.9966,0.002106,0.001124,0
0.995,0.003021,0.002138,0
0.9873,0.00892,0.00339,0
0.9424,0.0543,0.003645,0
0.99,0.004807,0.004646,0
0.99,0.005432,0.00395,0
0.9956,0.00234,0.001912,0
0.9956,0.002172,0.001951,0
0.996,0.001863,0.001694,0
0.9966,0.001535,0.001584,0
0.996,0.001483,0.002188,0
0.9956,0.00177,0.00291,0
0.996,0.001899,0.002068,0
0.9956,0.001991,0.00234,0
0.994,0.003769,0.001845,0
0.9956,0.001931,0.00231,0
0.9937,0.004433,0.00139,0
0.992,0.00677,0.001294,0
0.9736,0.02463,0.0021,0
0.908,0.08997,0.001588,0
0.9497,0.04956,0.001048,0
0.9863,0.012856,0.000838,0
0.9907,0.008446,0.0006065,0
0.989,0.010864,0.000551,0
0.9844,0.015594,0.0004802,0
0.98,0.01947,0.0004637,0
0.981,0.01878,0.000527,0
0.977,0.02199,0.0005817,0
0.977,0.02275,0.000573,0
0.9824,0.01683,0.000598,0
0.9834,0.01576,0.000656,0
0.8735,0.1257,0.00111,0
0.894,0.10486,0.000861,0
0.2203,0.7783,0.001089,1
0.2842,0.715,0.001545,1
0.3196,0.6787,0.001491,1
0.749,0.2488,0.002016,0
0.818,0.1788,0.003496,0
0.975,0.02325,0.001625,0
0.99,0.006363,0.003014,0
0.7695,0.2255,0.005016,0
0.92,0.0793,0.001018,0
0.946,0.05325,0.001076,0
0.975,0.02385,0.000967,0
0.991,0.007515,0.00108,0
0.996,0.002722,0.001253,0
0.9966,0.001385,0.00201,0
0.996,0.00268,0.001515,0
0.9893,0.00948,0.001077,0
0.797,0.2023,0.000944,0
0.559,0.4397,0.0009146,0
0.733,0.2664,0.001091,0
0.664,0.3345,0.001221,0
0.9375,0.06076,0.001594,0
0.9546,0.04395,0.001598,0
0.809,0.1897,0.001631,0
0.895,0.10345,0.001534,0
0.9126,0.0861,0.00111,0
0.986,0.01137,0.002539,0
0.9893,0.00787,0.00293,0
0.9873,0.006298,0.00643,0
0.994,0.001756,0.00444,0
0.9966,0.002392,0.0012,0
0.9946,0.004684,0.000666,0
0.9956,0.003944,0.0006313,0
0.997,0.002611,0.000684,0
0.997,0.002224,0.0006366,0
0.9956,0.003687,0.000707,0
0.9946,0.004704,0.0006533,0
0.9946,0.004562,0.0006638,0
0.996,0.003767,0.0006027,0
0.997,0.002335,0.000787,0
0.9917,0.007137,0.001015,0
0.995,0.002735,0.002073,0
0.9907,0.002865,0.006763,0
0.9946,0.004192,0.001287,0
0.994,0.004105,0.001726,0
0.9946,0.004093,0.001419,0
0.9917,0.00715,0.001205,0
0.9883,0.010345,0.001367,0
0.989,0.0096,0.001493,0
0.933,0.0653,0.001132,0
0.959,0.03998,0.000745,0
0.9863,0.012596,0.0007358,0
0.9873,0.01241,0.000588,0
0.989,0.01024,0.000711,0
0.979,0.02063,0.000552,0
0.98,0.01944,0.0006876,0
0.99,0.00861,0.000835,0
0.9907,0.00811,0.0007567,0
0.9873,0.01212,0.0006213,0
0.9893,0.01051,0.0006704,0
0.9756,0.02417,0.000578,0
0.9634,0.03632,0.0006933,0
0.79,0.2094,0.000881,0
0.945,0.05466,0.000705,0
0.9746,0.02473,0.0008154,0
0.9844,0.014435,0.001049,0
0.97,0.02905,0.000966,0
0.9873,0.01197,0.0008197,0
0.987,0.01208,0.001067,0
0.995,0.003643,0.001222,0
0.99,0.008575,0.001006,0
0.9927,0.006,0.001,0
0.986,0.01286,0.001031,0
0.982,0.01694,0.0009685,0
0.9233,0.07495,0.001243,0
0.848,0.1501,0.001273,0
0.9497,0.04922,0.001182,0
0.5884,0.41,0.0014305,0
0.3127,0.686,0.001337,1
0.7227,0.275,0.00222,0
0.804,0.1932,0.002438,0
0.9155,0.08203,0.002392,0
0.996,0.002838,0.001405,0
0.9956,0.003082,0.00153,0
0.995,0.002617,0.002596,0
0.9946,0.001686,0.003792,0
0.9956,0.002117,0.002195,0
0.995,0.002466,0.002789,0
0.9956,0.001482,0.002972,0
0.992,0.00541,0.002033,0
0.995,0.002851,0.001959,0
0.995,0.002846,0.002169,0
0.9927,0.004475,0.002832,0
0.966,0.03053,0.003593,0
0.9346,0.06323,0.002287,0
0.9307,0.06824,0.001461,0
0.9614,0.0367,0.001729,0
0.3203,0.6704,0.009315,1
0.649,0.3494,0.00176,0
0.9673,0.02945,0.003494,0
0.7935,0.1786,0.02809,0
0.9443,0.05234,0.003199,0
0.9277,0.0702,0.001568,0
0.955,0.04263,0.002438,0
0.4458,0.5522,0.002052,1
0.9175,0.0801,0.00214,0
0.9604,0.03818,0.001675,0
0.973,0.02472,0.00217,0
0.2235,0.7754,0.000987,1
0.03647,0.963,0.0005794,1
0.02231,0.9775,0.0005665,1
0.02663,0.973,0.0005655,1
0.08484,0.9146,0.000749,1
0.4514,0.5474,0.000793,1
0.5474,0.452,0.0007944,0
0.4226,0.5767,0.000712,1
0.811,0.188,0.000807,0
0.927,0.0724,0.001045,0
0.755,0.2441,0.001407,0
0.87,0.1287,0.001209,0
0.9873,0.0114,0.00102,0
0.987,0.011894,0.001101,0
0.9937,0.005295,0.001295,0
0.993,0.00551,0.001459,0
0.995,0.002884,0.002386,0
0.997,0.001613,0.00108,0
0.9966,0.001948,0.001144,0
0.994,0.00468,0.0009394,0
0.9937,0.00526,0.0007873,0
0.99,0.00893,0.0011635,0
0.9854,0.013725,0.0007687,0
0.994,0.00467,0.001197,0
0.993,0.006336,0.0008607,0
0.9937,0.0045,0.001406,0
0.993,0.0053,0.001132,0
0.9937,0.004467,0.00197,0
0.9927,0.003687,0.003658,0
0.994,0.002966,0.003082,0
0.989,0.00655,0.00479,0
0.9893,0.00796,0.002718,0
0.9927,0.00381,0.003155,0
0.993,0.002792,0.003832,0
0.9897,0.004105,0.00625,0
0.9897,0.005806,0.004536,0
0.986,0.0051,0.00878,0
0.984,0.007233,0.00884,0
0.9883,0.01033,0.001578,0
0.9893,0.0091,0.001445,0
0.983,0.01561,0.00151,0
0.9136,0.0856,0.00101,0
0.943,0.05643,0.0009646,0
0.9087,0.0903,0.001025,0
0.915,0.0832,0.001394,0
