class_0_prob,class_1_prob,class_2_prob,pred_class
0.0006943,0.9985,0.001005,1
0.0007358,0.9985,0.0009985,1
0.000647,0.9985,0.001142,1
0.000424,0.9976,0.001706,1
0.000429,0.9976,0.001671,1
0.000613,0.9985,0.001115,1
0.000519,0.9985,0.001248,1
0.000674,0.9985,0.0008893,1
0.0007086,0.9985,0.00098,1
0.0008245,0.9985,0.0009503,1
0.001148,0.998,0.0007606,1
0.0004315,0.9985,0.001543,1
0.000627,0.9985,0.001122,1
0.0009174,0.9985,0.000971,1
0.0009594,0.9976,0.001166,1
0.0006223,0.998,0.001399,1
0.000717,0.998,0.001374,1
0.00169,0.998,0.0006533,1
0.001952,0.9976,0.0005965,1
0.0008965,0.9985,0.0008574,1
0.0009246,0.9985,0.000999,1
0.000821,0.9985,0.00101,1
0.0007677,0.9985,0.001096,1
0.000875,0.9985,0.001046,1
0.000716,0.9985,0.001054,1
0.000661,0.9985,0.00101,1
0.000869,0.9985,0.000855,1
0.000862,0.9985,0.0009155,1
0.000555,0.998,0.001407,1
0.00069,0.9985,0.0011215,1
0.0009394,0.9985,0.000869,1
0.0009522,0.9985,0.000811,1
0.001428,0.998,0.0007157,1
0.001016,0.9985,0.000818,1
0.001823,0.997,0.000663,1
0.001166,0.9976,0.0008698,1
0.001135,0.998,0.0007725,1
0.000988,0.9985,0.0007553,1
0.0006995,0.9985,0.001034,1
0.0005016,0.9976,0.001533,1
0.0003507,0.9976,0.001781,1
0.000509,0.9985,0.001438,1
0.000567,0.9976,0.001497,1
0.000682,0.998,0.001333,1
0.0006685,0.9985,0.001251,1
0.0008307,0.9985,0.001043,1
0.0009212,0.9985,0.000999,1
0.0006633,0.9985,0.00115,1
0.000842,0.9985,0.001052,1
0.000768,0.9985,0.001155,1
0.0004869,0.9976,0.001757,1
0.0003648,0.9976,0.002108,1
0.000379,0.9976,0.002392,1
0.000391,0.997,0.002415,1
0.0005393,0.9985,0.001289,1
0.000693,0.9985,0.001057,1
0.0005007,0.9985,0.001299,1
0.0004463,0.9985,0.001317,1
0.000533,0.9985,0.001247,1
0.0003898,0.9985,0.001597,1
0.0005717,0.998,0.0013485,1
0.0005155,0.998,0.001531,1
0.000606,0.9985,0.001181,1
0.0005565,0.998,0.00151,1
0.0004306,0.9976,0.002037,1
0.0007586,0.9976,0.001451,1
0.001033,0.9976,0.001148,1
0.00245,0.9966,0.0008707,1
0.001188,0.9976,0.000974,1
0.000765,0.9985,0.001111,1
0.0005856,0.9985,0.001284,1
0.000867,0.9985,0.001023,1
0.001029,0.998,0.000933,1
0.001226,0.9976,0.0008907,1
0.000977,0.998,0.0009174,1
0.002018,0.997,0.000736,1
0.001641,0.9976,0.000811,1
0.002483,0.997,0.00077,1
0.001127,0.9976,0.000913,1
0.00556,0.9937,0.000691,1
0.003448,0.9956,0.000704,1
0.001025,0.9976,0.0011,1
0.001324,0.9976,0.0009775,1
0.001609,0.9976,0.000993,1
0.00131,0.9976,0.001115,1
0.00116,0.9976,0.001072,1
0.000915,0.9976,0.001147,1
0.001145,0.9976,0.000935,1
0.001103,0.9976,0.0009365,1
0.0006514,0.9976,0.001654,1
0.0005326,0.9976,0.001588,1
0.0009317,0.9985,0.000952,1
0.000981,0.998,0.000919,1
0.000509,0.9985,0.001438,1
0.0005264,0.9976,0.001556,1
0.0003965,0.9976,0.0023,1
0.000392,0.9976,0.00241,1
0.0003777,0.9976,0.002169,1
0.0003786,0.9976,0.002188,1
0.0003927,0.9976,0.001641,1
0.0004685,0.9985,0.001437,1
0.0004694,0.998,0.001522,1
0.0004723,0.9985,0.001334,1
0.001096,0.998,0.0007815,1
0.0007577,0.9985,0.000857,1
0.001178,0.998,0.000628,1
0.0007143,0.9985,0.000891,1
0.0008082,0.998,0.00075,1
0.0009317,0.998,0.000701,1
0.0003724,0.9976,0.00219,1
0.000675,0.9985,0.001183,1
0.0008287,0.9956,0.003265,1
0.02249,0.9766,0.000584,1
0.01718,0.9824,0.0005155,1
0.02367,0.976,0.0004792,1
0.01855,0.9805,0.000495,1
0.01566,0.984,0.000557,1
0.01463,0.985,0.0004594,1
0.01237,0.9873,0.0004363,1
0.013435,0.9863,0.0003884,1
0.01564,0.984,0.000418,1
0.008766,0.9907,0.0004404,1
0.001686,0.9976,0.000847,1
0.001533,0.998,0.000687,1
0.00095,0.998,0.000922,1
0.001474,0.998,0.000654,1
