class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9873,0.0008683,0.011215,2.86e-06,1e-06,0.000156,0
0.924,0.001548,0.07446,2.7e-06,4.7e-06,0.0001626,0
0.856,0.003256,0.141,5.54e-06,3.2e-06,0.0001938,0
0.6484,0.0005975,0.3506,8.17e-06,8.1e-06,0.00010943,0
0.8687,0.000424,0.1307,5.84e-06,5.4e-06,0.0001588,0
0.9014,8.76e-05,0.09845,6.4e-06,1.603e-05,0.0002295,0
0.8945,1.76e-05,0.1056,1.35e-05,2.13e-05,0.0001453,0
0.916,2.16e-05,0.08356,9.4e-06,2.21e-05,0.0001796,0
0.58,6.515e-05,0.4197,1.514e-05,2.72e-05,2.84e-05,0
0.2443,0.0002116,0.7554,1.574e-05,3.09e-05,5.54e-06,2
0.2612,0.0001503,0.7383,1.61e-05,2.18e-05,5.2e-06,2
0.3547,0.0003693,0.645,6.443e-05,5.1e-06,4.6e-06,2
0.428,0.000417,0.5713,3.386e-05,5.07e-06,7.3e-06,2
0.4216,0.0001095,0.5786,5.263e-05,8.94e-06,7.87e-06,2
0.591,5.543e-05,0.4092,0.0001181,3.16e-06,3.695e-05,0
0.7705,0.0003142,0.229,4.54e-05,1.2e-06,9.47e-05,0
0.691,5.19e-05,0.3088,0.000155,2.26e-06,4.6e-05,0
0.7134,0.001079,0.286,1.77e-05,2.44e-06,2.27e-05,0
0.5015,0.000904,0.4976,0.0001913,2.26e-06,4.9e-06,0
0.5454,0.001921,0.4524,1.043e-05,7.3e-06,9.66e-06,0
0.351,0.003147,0.6455,7.66e-05,1.55e-06,8.8e-06,2
0.5728,0.1146,0.3125,1.05e-05,7.2e-06,9.8e-06,0
0.7305,0.01235,0.2568,3.46e-05,1.43e-06,9.05e-05,0
0.8184,0.03116,0.1508,5.2e-06,7.33e-06,8.6e-06,0
0.8423,0.02017,0.1377,1.7e-06,1.93e-05,1.28e-05,0
0.8213,0.01539,0.1636,3.64e-06,5.8e-06,2.46e-05,0
0.678,0.2576,0.06415,3.6e-06,1.35e-05,1.32e-05,0
0.8223,0.05405,0.1237,3.16e-06,8.5e-06,2.43e-05,0
0.92,0.03784,0.04175,2.26e-06,5.66e-06,2.784e-05,0
0.899,0.01773,0.0831,2.86e-06,5.96e-06,3.31e-05,0
0.8813,0.01991,0.0987,2.86e-06,6.26e-06,6.42e-05,0
0.876,0.0009212,0.123,4.3e-06,6.2e-06,6.79e-05,0
0.9106,0.01933,0.0701,2.8e-06,4.65e-06,9.245e-05,0
0.6914,0.02786,0.2805,7.9e-06,5e-06,0.0001171,0
0.6157,0.08185,0.3022,7.1e-06,7e-06,0.00010306,0
0.8022,0.02298,0.1748,4.3e-06,7e-06,3.45e-05,0
0.838,0.001218,0.1608,4.5e-06,1.353e-05,0.0003765,0
0.6953,0.001278,0.3032,4.1e-06,2.02e-05,0.000106,0
0.768,0.0006514,0.2311,3.4e-06,2.694e-05,0.0003214,0
0.7085,0.001865,0.2893,2.1e-06,2.855e-05,0.0002284,0
0.8633,0.001424,0.135,1.9e-06,1.57e-05,0.0004494,0
0.627,0.002995,0.37,2.86e-06,1.98e-05,7.826e-05,0
0.8794,0.001677,0.11835,6e-07,0.0003872,0.0001804,0
0.778,0.01775,0.2041,6.6e-07,0.0005813,8.327e-05,0
0.8833,0.01997,0.09515,3.6e-07,0.00109,0.0001057,0
0.8086,0.02252,0.1685,8.3e-07,0.0002129,0.0001213,0
0.569,0.004616,0.4268,1.8e-06,7.27e-05,6.94e-05,0
0.847,0.01399,0.1385,1.3e-06,4.33e-05,0.00011045,0
0.891,0.0065,0.1018,7.57e-06,6.2e-06,7.325e-05,0
0.9106,0.06885,0.01999,6.44e-06,3.3e-06,3.135e-05,0
0.9204,0.03613,0.04358,3.16e-06,3.266e-05,4.79e-05,0
0.874,0.09607,0.02966,1.8e-06,1.734e-05,2.05e-05,0
0.9297,0.02336,0.0465,4.35e-06,4.7e-06,7.04e-05,0
0.705,0.01839,0.2766,3.5e-06,2.044e-05,0.0002217,0
0.4165,0.000689,0.5825,9.3e-06,1.92e-05,0.0001595,2
0.711,0.001866,0.287,4e-06,1.615e-05,0.0002104,0
0.6387,0.000613,0.3604,4.4e-06,1.144e-05,0.0001712,0
0.979,0.002588,0.01686,7e-07,1.097e-05,0.0016985,0
0.9785,0.005116,0.015564,3e-07,2.444e-05,0.001037,0
0.9907,0.00316,0.000697,4e-07,4.65e-06,0.005455,0
0.99,0.00437,0.005154,3e-07,8.3e-06,0.0001831,0
0.979,0.015114,0.00481,3.6e-07,1.05e-05,0.0006413,0
0.6714,0.326,0.0016575,1.2e-06,6.9e-06,0.001027,0
0.8745,0.1204,0.004948,1.4e-06,2.7e-06,4.125e-05,0
0.881,0.10724,0.012146,2e-06,4.5e-06,2.33e-05,0
0.9355,0.06052,0.003937,1.2e-06,3.64e-06,2.08e-05,0
0.986,0.012985,0.000992,4e-07,1.395e-05,1.025e-05,0
0.977,0.01614,0.006798,8e-07,2.73e-05,7.1e-06,0
0.9775,0.01463,0.00799,1.1e-06,2.587e-05,7.45e-06,0
0.9688,0.01126,0.02031,1.6e-06,3.24e-05,5.5e-06,0
0.9766,0.01046,0.01303,1.5e-06,7.7e-06,6.5e-06,0
0.9277,0.02815,0.04456,1.2e-06,1.69e-05,1.13e-05,0
0.769,0.2128,0.018,1.13e-06,1.234e-05,2.77e-05,0
0.3413,0.6484,0.01029,1.4e-06,5.54e-06,3.65e-05,1
0.62,0.3733,0.006466,1.4e-06,6e-06,6.247e-05,0
0.7417,0.2544,0.004044,1.2e-06,5.84e-06,4.727e-05,0
0.738,0.2615,0.001164,1.43e-06,3.64e-06,3.034e-05,0
0.8867,0.11316,0.0001522,1.2e-06,2.2e-06,3.636e-05,0
0.6255,0.3735,0.0004566,9.5e-07,7.57e-06,1.115e-05,0
0.92,0.0798,0.000756,3e-07,3.046e-05,1.41e-05,0
0.924,0.07367,0.002678,8e-07,2.14e-05,4.7e-06,0
0.9697,0.0295,0.001002,9.5e-07,1.097e-05,4e-06,0
0.9707,0.02863,0.001062,9e-07,1.14e-05,3.9e-06,0
0.9873,0.0121,0.0001442,3.6e-07,4.28e-05,1.085e-05,0
0.9585,0.008286,0.03287,4.23e-06,2.03e-05,2.56e-06,0
0.9766,0.002132,0.02141,5.84e-06,3.93e-06,2.3e-06,0
0.865,0.0004349,0.1345,3.96e-05,2.74e-06,5.66e-06,0
0.752,0.003231,0.2446,1.06e-05,8.1e-06,5.66e-06,0
