class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9883,0.01187,7.5e-06,1.4e-06,3.87e-05,0.0002047,0
0.9927,0.006847,8.34e-06,2.26e-06,3.48e-05,7.564e-05,0
0.975,0.02455,1.08e-05,1.4e-06,4.375e-05,3.344e-05,0
0.9966,0.003094,2.1e-06,1.4e-06,7.117e-05,0.0001137,0
0.9897,0.01015,2e-05,8.65e-05,3.1e-06,2.12e-05,0
0.908,0.0918,3.445e-05,1.746e-05,5.5e-06,1.276e-05,0
0.96,0.03998,1.776e-05,5.746e-05,1.866e-05,1.746e-05,0
0.904,0.09564,3.62e-05,1.48e-05,6e-06,1.76e-05,0
0.882,0.1179,4.5e-05,0.00010943,6.44e-06,5.1e-06,0
0.8164,0.1835,3.594e-05,9.2e-06,3.78e-05,4.8e-06,0
0.7637,0.2367,3.62e-05,6.85e-06,1.794e-05,1.067e-05,0
0.794,0.2056,3.254e-05,9.7e-06,5.41e-05,8.46e-06,0
0.7695,0.2301,1.943e-05,4.77e-06,6.66e-05,1.425e-05,0
0.861,0.1392,1.42e-05,9.4e-06,6.545e-05,2.086e-05,0
0.5503,0.449,1.574e-05,3.04e-06,0.000692,2.49e-05,0
0.6436,0.3555,3.004e-05,3.64e-06,0.0009155,9.2e-06,0
0.7695,0.2213,3.31e-05,1.55e-06,0.00941,2.26e-05,0
0.3013,0.6978,7.623e-05,2.9e-06,0.001331,2.4e-06,1
0.3381,0.6597,6.723e-05,3.04e-06,0.002302,2.9e-06,1
0.546,0.454,3.4e-05,4.95e-06,0.0002477,5e-06,0
0.4148,0.583,2.897e-05,4.3e-06,0.002285,5.36e-06,1
0.5903,0.409,2.51e-05,5.4e-06,0.000356,8.64e-06,0
0.5664,0.4326,8.774e-05,4.1e-06,0.000359,5.1e-06,0
0.7974,0.2017,1.055e-05,2.6e-06,0.00075,3.82e-05,0
0.656,0.3442,9.7e-06,2.1e-06,0.0001327,0.0001076,0
0.8545,0.145,1.77e-05,1.1e-06,0.0001622,0.0004244,0
0.8633,0.1364,2.2e-05,1.13e-06,0.0002704,0.0001411,0
0.969,0.02553,1.097e-05,1.25e-06,0.00516,0.0002356,0
0.9683,0.03094,5.96e-06,7e-07,0.0005603,0.0002658,0
0.9473,0.05228,1.33e-05,1.97e-06,0.0004883,5.853e-05,0
0.869,0.1305,1.47e-05,2.7e-06,0.0004056,3.33e-05,0
0.6,0.3997,1.73e-05,2.7e-06,0.0002381,1.466e-05,0
0.925,0.0748,9.4e-06,1.9e-06,6.217e-05,3.564e-05,0
0.8833,0.11676,1.49e-05,1.9e-06,0.0003104,2.54e-05,0
0.95,0.04984,7.9e-06,5.2e-06,8.154e-05,3.4e-05,0
