class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.9844,0.000516,8.17e-06,9.36e-06,9.6e-06,0.015,0
0.984,0.0007095,5.07e-06,6e-06,1.19e-05,0.015114,0
0.9985,0.0004807,2.676e-05,3.89e-05,1.97e-06,0.0008054,0
0.9893,0.0002376,7.4e-06,4.33e-05,3.64e-06,0.01033,0
0.9966,0.0001228,1.97e-06,1.6e-05,4e-06,0.003437,0
0.9917,0.0001948,2.5e-06,1.997e-05,3.64e-06,0.007965,0
0.993,0.0002306,1.5e-06,9e-06,2.1e-06,0.0064,0
0.993,0.001186,1.5e-06,7.57e-06,1.85e-06,0.005714,0
0.997,0.00238,4.9e-06,1.645e-05,3e-07,0.000666,0
0.996,0.00332,2.2e-06,6e-06,9.5e-07,0.0001761,0
0.8906,0.1094,1.61e-05,1.31e-05,5.4e-07,0.0001121,0
0.9824,0.01741,2.79e-05,9e-06,3e-07,0.000288,0
0.966,0.02655,7.4e-06,6.4e-06,1.25e-06,0.00794,0
0.949,0.04736,1.484e-05,3.4e-06,1.43e-06,0.003305,0
0.9585,0.03525,1.05e-05,7.33e-06,9.5e-07,0.006184,0
0.9727,0.01175,1.51e-05,4.65e-06,1.2e-06,0.01576,0
0.9795,0.01188,8.05e-06,3.64e-06,1.43e-06,0.00841,0
0.981,0.007698,8.34e-06,4.3e-06,2.26e-06,0.01138,0
0.952,0.00186,8.9e-06,2.2e-06,6.1e-06,0.0459,0
0.9854,0.003397,7.45e-06,2.6e-06,1.05e-05,0.01111,0
0.9976,0.0009594,8.94e-06,5.4e-07,1.77e-05,0.001619,0
0.9805,0.0002801,1.22e-05,3.16e-06,6.3e-06,0.01923,0
0.9873,0.0002692,1.156e-05,4.4e-06,3.76e-06,0.012794,0
0.928,0.0001426,1.26e-05,3.9e-06,4.005e-05,0.0715,0
0.9907,0.0001897,1.645e-05,2.5e-06,5.794e-05,0.009384,0
0.991,0.0004883,2.42e-05,3.42e-05,4.77e-06,0.00817,0
0.997,0.000583,0.000292,2.587e-05,4.1e-06,0.002386,0
0.998,0.0003936,0.000574,4.786e-05,1.2e-05,0.0008626,0
0.982,0.00648,5.42e-05,0.0003774,1.06e-05,0.01159,0
0.9893,0.006615,0.002216,0.0001599,3.7e-06,0.0016,0
0.9487,0.02647,0.000706,0.002567,3.564e-05,0.02129,0
0.986,0.000787,0.002901,0.00834,9.9e-06,0.002464,0
0.996,0.000963,5.287e-05,0.0003483,8.65e-05,0.002413,0
0.9985,0.0005345,0.0002925,2e-06,0.0005393,0.00011104,0
0.9976,0.001578,0.00066,1.67e-06,6.14e-06,0.0001683,0
0.998,0.0004973,0.001524,2.7e-06,8.154e-05,0.0001033,0
0.998,0.0005383,1.23e-05,5e-07,0.0004795,0.0008726,0
0.999,0.0008826,4.36e-05,5.4e-07,0.0001318,0.00011206,0
0.9995,0.0001064,1.603e-05,9e-07,0.0001253,0.000592,0
0.9995,3.4e-05,9.6e-05,1.3e-06,0.0002011,0.000194,0
0.999,3.886e-05,0.0002402,1.43e-06,0.000274,0.00011563,0
0.994,1.75e-05,7.546e-05,5.54e-06,0.00462,0.000812,0
0.992,4.536e-05,2.766e-05,2e-06,0.005257,0.002457,0
0.996,0.0001838,1.043e-05,2.3e-06,0.002768,0.0009456,0
0.9976,0.0006266,7.3e-06,5.7e-06,0.000944,0.001072,0
0.994,0.000548,3.76e-06,2.26e-06,0.0001485,0.0046,0
0.9917,0.003687,4.5e-06,2.56e-06,0.0002577,0.00413,0
0.994,0.002811,2.6e-06,1.67e-06,5.37e-05,0.002909,0
0.9937,0.001672,3.16e-06,6.6e-07,0.0002706,0.004265,0
0.9937,0.002102,3.1e-06,1.43e-06,0.0002923,0.00418,0
0.994,0.000951,3.7e-06,1.43e-06,0.000819,0.003653,0
0.989,0.0052,6.44e-06,2.44e-06,0.005466,0.0007615,0
0.9966,0.001239,1.43e-06,2.5e-06,0.0001307,0.001517,0
0.996,0.0003388,1.13e-06,4.3e-06,0.0003636,0.002869,0
0.9976,0.0004444,1.1e-06,3.16e-06,0.0001121,0.001844,0
0.9985,0.000536,1.2e-06,5.96e-06,7.135e-05,0.0009174,0
