class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.4148,0.5835,0.0002245,3.3e-06,0.001238,4.816e-05,1
0.7812,0.2056,5.69e-05,4.53e-06,0.012726,2.414e-05,0
0.6675,0.3267,4.46e-05,2.5e-06,0.005886,3.58e-05,0
0.751,0.2452,9.24e-06,1.1e-06,0.003254,0.0004632,0
0.6816,0.3157,9.24e-06,1.6e-06,0.0012865,0.001695,0
0.2695,0.73,3.123e-05,1.6e-06,0.000288,0.0001285,1
0.2644,0.7354,6.29e-05,8e-07,0.0001386,0.0001689,1
0.2659,0.734,6.527e-05,6.6e-07,7.54e-05,6.66e-05,1
0.1465,0.853,0.00010383,7e-07,2.19e-05,2.14e-05,1
0.2277,0.772,0.0001789,9e-07,2.62e-05,2.52e-05,1
0.1771,0.8228,1.69e-05,5e-07,0.0001489,4.023e-05,1
0.10876,0.891,1.794e-05,4e-07,3.99e-05,2.26e-05,1
0.0699,0.9297,4.1e-06,8.3e-07,0.0001116,2.474e-05,1
0.0868,0.913,4.23e-06,8e-07,3.195e-05,2.706e-05,1
0.1505,0.849,4.95e-06,9.5e-07,5.9e-05,3.52e-05,1
0.2012,0.799,7.2e-06,1.3e-06,1.556e-05,3.767e-05,1
0.315,0.685,3.5e-06,1.55e-06,5.17e-05,0.0001682,1
0.493,0.5063,3.9e-06,1.97e-06,5.1e-05,0.0003438,1
0.41,0.59,3.04e-06,4.4e-06,4.29e-05,0.0001587,1
0.3123,0.6875,4.23e-06,3.8e-06,2.01e-05,0.00011027,1
0.1825,0.8174,4.95e-06,3.64e-06,4.876e-05,2.72e-05,1
0.1111,0.889,1.37e-05,1.13e-06,0.0001255,9.6e-06,1
0.2407,0.7593,1.514e-05,1e-06,0.0002204,1.33e-05,1
0.231,0.769,1.925e-05,1.13e-06,0.0001425,1.746e-05,1
0.2107,0.789,1.78e-05,1.25e-06,9.49e-05,1.04e-05,1
0.3167,0.683,7.75e-06,4.77e-06,5.19e-05,3.21e-05,1
0.3728,0.627,1.514e-05,4.4e-06,2.58e-05,1.746e-05,1
0.3933,0.607,8.6e-06,5.36e-06,3.34e-05,2.63e-05,1
0.715,0.2854,1.365e-05,5.7e-06,1.955e-05,2.146e-05,0
0.8633,0.1364,2.104e-05,2.13e-05,2.6e-06,0.0001091,0
0.9604,0.03918,7e-06,6.26e-06,4.3e-06,0.000208,0
