class_0_prob,class_1_prob,class_2_prob,pred_class
0.9937,0.005276,0.0006375,0
0.995,0.001826,0.003174,0
0.9663,0.0005894,0.0326,0
0.994,0.00338,0.002424,0
0.987,0.001146,0.0122,0
0.987,0.013145,0.0003362,0
0.994,0.002104,0.003778,0
0.966,0.03387,9.53e-05,0
0.9653,0.0347,0.0002859,0
0.9785,0.02094,0.0002577,0
0.981,0.01859,8.86e-05,0
0.993,0.00203,0.00473,0
0.9946,0.003902,0.001682,0
0.9883,0.001062,0.010635,0
0.9917,0.00269,0.005524,0
0.9893,0.00221,0.008484,0
0.9937,0.00355,0.002733,0
0.99,0.00877,0.00134,0
0.985,0.00086,0.01489,0
0.9946,0.002228,0.00347,0
0.994,0.001704,0.004265,0
0.986,0.000618,0.01407,0
0.9897,0.0008044,0.0092,0
0.992,0.007504,0.0006037,0
0.9917,0.007614,0.0008426,0
0.9946,0.002253,0.003002,0
0.9946,0.001464,0.00449,0
0.978,0.0006332,0.02159,0
0.995,0.00266,0.001662,0
0.993,0.002138,0.00449,0
0.979,0.0005627,0.02022,0
0.975,0.0004795,0.02446,0
0.9917,0.004986,0.003792,0
0.9697,0.000571,0.03021,0
0.989,0.0007606,0.01061,0
0.957,0.04272,6.89e-05,0
0.9937,0.00511,0.001298,0
0.993,0.005882,0.000989,0
0.992,0.0017,0.00589,0
0.991,0.001862,0.006817,0
0.9917,0.00382,0.004345,0
0.986,0.000899,0.01371,0
0.9917,0.003717,0.004894,0
0.9907,0.0008707,0.00804,0
0.9897,0.000838,0.00984,0
0.987,0.000765,0.01267,0
0.96,0.0007663,0.03952,0
0.992,0.001698,0.005856,0
0.9907,0.001836,0.007755,0
0.9907,0.001735,0.007492,0
0.9937,0.001442,0.005295,0
0.994,0.002787,0.00265,0
0.986,0.001032,0.01312,0
0.9937,0.002714,0.00359,0
0.9937,0.002369,0.003824,0
0.993,0.002811,0.00395,0
0.99,0.0008893,0.009155,0
0.9927,0.001393,0.00568,0
0.995,0.003754,0.001153,0
0.9946,0.001642,0.003983,0
0.9854,0.01414,0.000258,0
0.9927,0.000854,0.0067,0
0.995,0.001372,0.003305,0
0.9946,0.0015955,0.003704,0
0.951,0.0004122,0.04807,0
0.995,0.002468,0.00214,0
0.9937,0.004772,0.0016985,0
0.995,0.003057,0.00208,0
0.995,0.00234,0.002577,0
0.993,0.006447,0.000467,0
0.992,0.006622,0.001517,0
0.9883,0.0115,0.0004175,0
0.92,0.000384,0.07947,0
0.9927,0.005985,0.001192,0
0.988,0.00107,0.01106,0
0.9707,0.0005345,0.02852,0
0.9844,0.000659,0.01539,0
0.9883,0.001094,0.01025,0
0.988,0.01117,0.001296,0
0.936,0.0003953,0.06396,0
0.9946,0.002264,0.003105,0
0.975,0.02464,0.0004632,0
0.9907,0.001457,0.00754,0
0.99,0.003633,0.006256,0
0.984,0.01506,0.0008993,0
0.979,0.02068,0.000401,0
0.9907,0.00877,0.000739,0
0.9873,0.01243,0.0007567,0
0.9863,0.01297,0.000556,0
0.993,0.006023,0.000956,0
0.988,0.01182,0.000606,0
0.986,0.000594,0.0131,0
0.9946,0.002249,0.00357,0
0.989,0.00985,0.001525,0
0.9897,0.000985,0.00956,0
0.9775,0.0006456,0.02187,0
0.9893,0.00256,0.007904,0
0.9966,0.002247,0.001831,0
0.925,0.075,0.0001193,0
0.9927,0.00085,0.006462,0
0.9863,0.01303,0.0003676,0
0.9893,0.0099,0.0007496,0
0.954,0.04562,0.00022,0
0.992,0.005875,0.00174,0
0.973,0.02701,0.0003803,0
0.988,0.011665,0.0006375,0
0.979,0.02054,0.0002356,0
0.959,0.0411,0.0001456,0
0.9937,0.00473,0.001592,0
