class_0_prob,class_1_prob,class_2_prob,pred_class
0.943,0.004807,0.05225,0
0.784,0.02328,0.1927,0
0.955,0.002747,0.04263,0
0.934,0.008736,0.05698,0
0.3022,0.2686,0.4292,2
0.1797,0.04688,0.773,2
0.4075,0.00026,0.592,2
0.1648,0.0010605,0.8345,2
0.983,0.002117,0.014595,0
0.965,0.001957,0.0327,0
0.959,0.0397,0.001351,0
0.91,0.005077,0.0848,0
0.9795,0.0097,0.011024,0
0.974,0.001015,0.02477,0
0.9707,0.0016985,0.02748,0
0.9917,0.005184,0.002834,0
0.636,0.0002668,0.3633,0
0.95,0.000618,0.04944,0
0.8306,0.0003347,0.169,0
0.9424,0.0004656,0.05725,0
0.978,0.006477,0.01555,0
0.9175,0.0005875,0.0818,0
0.9854,0.001479,0.013176,0
0.9043,0.0003798,0.0956,0
0.7686,0.000287,0.2311,0
0.6304,0.0002623,0.3691,0
0.9404,0.000557,0.05865,0
0.973,0.001575,0.02515,0
0.8203,0.000333,0.1792,0
0.675,0.0004935,0.3247,0
0.9604,0.000854,0.0388,0
0.777,0.000964,0.2223,0
0.7695,0.0003996,0.23,0
0.803,0.000332,0.1962,0
0.797,0.000312,0.2031,0
0.7007,0.0002594,0.2986,0
0.7993,0.0003092,0.2006,0
0.759,0.000325,0.241,0
0.8994,0.0003784,0.1005,0
0.9775,0.000796,0.02191,0
0.931,0.0004075,0.06836,0
0.986,0.01311,0.0009346,0
0.9946,0.003714,0.001997,0
0.9473,0.05246,0.0001415,0
0.9946,0.001487,0.00351,0
0.991,0.00784,0.000999,0
0.9907,0.007553,0.001583,0
0.972,0.000578,0.0276,0
0.9893,0.002953,0.007397,0
0.9883,0.002552,0.00893,0
0.983,0.001364,0.01575,0
0.9688,0.00071,0.03052,0
0.96,0.0005927,0.03946,0
0.9507,0.0004778,0.04865,0
0.9854,0.00142,0.01324,0
0.9497,0.0005093,0.04965,0
0.9795,0.00103,0.01917,0
0.8896,0.0004268,0.1098,0
0.959,0.000735,0.04034,0
0.973,0.000996,0.02574,0
0.943,0.0005326,0.05664,0
0.9233,0.0004056,0.0764,0
0.794,0.0002906,0.2057,0
0.937,0.0003896,0.0626,0
0.9834,0.001523,0.01496,0
0.8887,0.000612,0.1107,0
0.914,0.0005617,0.0854,0
0.918,0.0004208,0.08185,0
0.9487,0.002548,0.04868,0
0.9355,0.000659,0.064,0
0.937,0.000578,0.06287,0
0.9673,0.000717,0.0321,0
0.9907,0.002644,0.00663,0
0.89,0.0004585,0.1093,0
0.924,0.0003667,0.0756,0
0.9526,0.0004218,0.04645,0
0.99,0.001184,0.00894,0
0.983,0.0008006,0.01631,0
0.9434,0.0004025,0.05606,0
0.9775,0.00058,0.02196,0
0.928,0.0003898,0.07166,0
0.9756,0.0004973,0.02396,0
0.9556,0.0004718,0.0434,0
0.953,0.000511,0.0467,0
0.9497,0.0005436,0.04974,0
0.938,0.0005226,0.06158,0
0.909,0.000441,0.0905,0
0.9766,0.0007186,0.02223,0
0.942,0.0004783,0.05765,0
0.8936,0.0003664,0.1063,0
0.8867,0.000363,0.11285,0
0.8096,0.0003207,0.19,0
0.6357,0.0002685,0.3638,0
0.9185,0.0004642,0.08136,0
0.664,0.0002766,0.3354,0
0.847,0.0003245,0.1526,0
0.945,0.0003977,0.0543,0
0.9126,0.0004041,0.0866,0
0.995,0.00431,0.0008426,0
0.9556,0.04382,8.39e-05,0
0.972,0.000507,0.02751,0
0.989,0.00113,0.01044,0
0.99,0.000731,0.00951,0
0.9844,0.000665,0.0149,0
0.995,0.002457,0.002272,0
0.993,0.001659,0.00558,0
0.9565,0.0004652,0.04266,0
0.858,0.0003445,0.1415,0
0.7812,0.0003242,0.2186,0
0.901,0.0003827,0.0988,0
0.9653,0.000682,0.03387,0
0.9316,0.0004382,0.0676,0
0.8735,0.0004132,0.126,0
0.9395,0.0004032,0.05984,0
0.773,0.000324,0.2272,0
0.9067,0.000392,0.093,0
0.9004,0.0003736,0.09937,0
0.904,0.000382,0.0958,0
0.957,0.000502,0.0424,0
0.938,0.0005436,0.06137,0
0.9775,0.00096,0.02144,0
0.989,0.001519,0.00955,0
0.978,0.0009294,0.02145,0
0.9907,0.001105,0.00789,0
0.99,0.001513,0.00853,0
0.986,0.000986,0.013145,0
0.992,0.001474,0.006355,0
0.992,0.006275,0.001991,0
0.9766,0.000593,0.02295,0
0.9927,0.005478,0.001592,0
0.987,0.0010605,0.012344,0
0.9907,0.00662,0.002855,0
0.9746,0.02524,0.0005455,0
0.9854,0.01158,0.003082,0
0.972,0.000555,0.02766,0
0.9883,0.002464,0.00924,0
0.8535,0.0003712,0.146,0
0.9863,0.001183,0.01231,0
0.7334,0.000288,0.2664,0
0.4636,0.000215,0.536,2
0.9087,0.0003626,0.09076,0
0.7285,0.000284,0.2712,0
0.4478,0.0002049,0.552,2
0.306,0.0001615,0.694,2
0.4985,0.0002239,0.501,2
0.8706,0.0003636,0.1289,0
0.9805,0.00177,0.01753,0
0.8867,0.0003653,0.1129,0
0.8213,0.0003781,0.1782,0
0.796,0.0004175,0.204,0
0.977,0.001286,0.02159,0
0.8125,0.000377,0.187,0
0.9897,0.0010805,0.00883,0
0.9907,0.003458,0.005867,0
0.6943,0.0002754,0.3057,0
0.9653,0.000653,0.0341,0
0.962,0.000583,0.03745,0
0.9473,0.0004184,0.0529,0
0.995,0.002121,0.00257,0
0.991,0.000919,0.007404,0
0.986,0.001091,0.01294,0
0.9424,0.0004408,0.05682,0
0.9395,0.0004144,0.06027,0
0.975,0.0005193,0.02432,0
0.975,0.000533,0.02405,0
0.9263,0.0003784,0.074,0
0.6777,0.0002816,0.322,0
0.809,0.0003312,0.1906,0
0.778,0.000328,0.2217,0
0.945,0.000399,0.05505,0
0.941,0.0003874,0.05865,0
0.934,0.0004144,0.06573,0
0.92,0.0004017,0.0798,0
0.8716,0.0003667,0.1278,0
