class_0_prob,class_1_prob,class_2_prob,pred_class
0.3083,0.6914,9.686e-05,1
0.1742,0.826,0.0001229,1
0.2488,0.751,7.766e-05,1
0.2433,0.757,9.73e-05,1
0.288,0.7124,6.66e-05,1
0.2683,0.7314,7.57e-05,1
0.3262,0.674,5.56e-05,1
0.2263,0.7734,8.41e-05,1
0.4539,0.5464,4.59e-05,1
0.681,0.319,4.4e-05,0
0.5312,0.4683,5.7e-05,0
0.913,0.0871,5.8e-05,0
0.9644,0.03543,0.0001258,0
0.6006,0.3992,3.433e-05,0
0.763,0.2369,4.01e-05,0
0.4253,0.5747,4.52e-05,1
0.4675,0.532,4.673e-05,1
0.675,0.325,4.745e-05,0
0.4663,0.533,7.47e-05,1
0.2861,0.714,0.0001323,1
0.4253,0.5737,0.001118,1
0.8037,0.1902,0.00604,0
0.51,0.4888,0.001301,0
0.9805,0.00186,0.018,0
0.935,0.000613,0.0641,0
0.9873,0.003704,0.009125,0
0.9536,0.0005875,0.0457,0
0.924,0.0004501,0.0754,0
0.943,0.000483,0.0569,0
0.955,0.0005274,0.04453,0
0.8027,0.0003352,0.1968,0
0.9023,0.0004065,0.09753,0
0.9546,0.000584,0.045,0
0.837,0.0003526,0.1627,0
0.922,0.00045,0.0773,0
0.6616,0.0002837,0.338,0
0.945,0.0004613,0.05475,0
0.92,0.0004199,0.0798,0
0.978,0.000732,0.02095,0
0.939,0.0005,0.06033,0
0.963,0.0007715,0.0364,0
0.958,0.000508,0.04193,0
0.905,0.0003943,0.0948,0
0.992,0.005383,0.002602,0
0.8296,0.0003614,0.1704,0
0.976,0.001482,0.02283,0
0.946,0.004456,0.04953,0
0.9194,0.000621,0.0795,0
0.896,0.0005965,0.10345,0
0.9663,0.000636,0.03305,0
0.6636,0.0003018,0.3362,0
0.687,0.0003138,0.3125,0
0.891,0.0004199,0.1088,0
0.822,0.0004206,0.1776,0
0.822,0.0003455,0.1779,0
0.771,0.0003374,0.2288,0
0.9844,0.00236,0.013336,0
0.9717,0.001574,0.02687,0
0.958,0.00107,0.0411,0
0.9697,0.001183,0.02882,0
0.9814,0.00114,0.01707,0
0.9736,0.000697,0.02525,0
0.9883,0.001316,0.0102,0
0.9844,0.014915,0.0007296,0
0.9766,0.02345,0.0002071,0
0.784,0.2157,0.0001093,0
0.889,0.11084,9.38e-05,0
0.9927,0.006622,0.0009546,0
0.9937,0.00231,0.004036,0
0.922,0.0783,8.31e-05,0
0.9834,0.01546,0.0009303,0
0.986,0.013405,0.000741,0
0.978,0.02197,0.0003371,0
0.975,0.02467,0.0001863,0
0.952,0.04758,9.423e-05,0
0.8584,0.1414,4.15e-05,0
0.7705,0.2294,3.32e-05,0
0.947,0.0531,5.203e-05,0
0.5723,0.4275,5.85e-05,0
0.2228,0.7773,7.355e-05,1
0.7065,0.2935,4.387e-05,0
0.3384,0.662,9.41e-05,1
0.3525,0.6475,7.4e-05,1
0.275,0.725,0.0001583,1
0.485,0.5146,5.466e-05,1
0.2405,0.7593,7.59e-05,1
0.6763,0.324,7.02e-05,0
0.695,0.3047,5.054e-05,0
0.4521,0.548,8.23e-05,1
0.904,0.09564,0.0001408,0
0.9604,0.03967,0.0002167,0
0.912,0.08765,9.67e-05,0
0.7583,0.2418,9.09e-05,0
0.278,0.7217,6.396e-05,1
0.532,0.4678,9.63e-05,0
0.694,0.3064,4.19e-05,0
