class_0_prob,class_1_prob,class_2_prob,pred_class
0.01458,0.000312,0.985,2
0.1506,0.0002625,0.849,2
0.0901,0.00025,0.9097,2
0.11694,0.0004041,0.8823,2
0.02924,0.0003724,0.9707,2
0.256,0.002556,0.7417,2
0.1237,0.0002472,0.8765,2
0.1434,0.0005875,0.856,2
0.2632,0.0001917,0.7363,2
0.258,0.0002156,0.7417,2
0.1456,0.000215,0.854,2
0.575,0.0004349,0.4243,0
0.2917,0.000275,0.7075,2
0.02455,0.000751,0.974,2
0.1168,0.0002167,0.883,2
0.05795,0.0001546,0.942,2
0.0543,0.0002348,0.9453,2
0.05475,0.0001835,0.945,2
0.0767,0.0001671,0.923,2
0.00896,0.0007925,0.99,2
0.05316,0.000259,0.9463,2
0.0702,0.0004334,0.929,2
0.04056,0.0004075,0.9585,2
0.01319,0.000811,0.9863,2
0.001267,0.00517,0.993,2
0.005573,0.002003,0.9927,2
0.010086,0.0004272,0.9897,2
0.004475,0.001905,0.993,2
0.001232,0.001747,0.997,2
0.004105,0.0002627,0.9956,2
0.00807,0.000332,0.9917,2
0.002323,0.0003185,0.9976,2
0.001862,0.000217,0.9976,2
0.00591,0.0001645,0.994,2
0.006557,0.0001097,0.9937,2
0.0118,0.0001363,0.988,2
0.008194,0.0001836,0.991,2
0.08044,0.000113,0.92,2
0.04803,0.0001231,0.9517,2
0.0187,0.0001284,0.981,2
0.02663,0.0001409,0.973,2
0.01161,0.0001506,0.9883,2
0.02228,0.000258,0.9775,2
0.007397,0.0001649,0.9927,2
0.0121,0.0001057,0.9873,2
0.001829,0.0004013,0.998,2
0.003262,0.0002427,0.9966,2
0.003956,0.000756,0.9956,2
0.001003,0.0008454,0.998,2
0.005177,0.001544,0.9937,2
0.002384,0.001006,0.9966,2
0.01581,0.002043,0.9824,2
0.005646,0.002222,0.992,2
0.1041,0.002203,0.894,2
0.09955,0.02827,0.872,2
0.1361,0.0005903,0.863,2
0.02985,0.0004706,0.97,2
0.0727,0.000292,0.9272,2
0.104,0.0002725,0.8955,2
0.1614,0.000347,0.838,2
0.09875,0.0001568,0.9014,2
0.0717,0.0002313,0.9277,2
0.07526,0.000261,0.9243,2
0.05603,0.0001734,0.944,2
0.10223,0.000241,0.8975,2
0.2817,0.0001742,0.7183,2
0.0312,0.0002433,0.9683,2
0.0991,0.0006485,0.901,2
0.0781,0.0002052,0.9214,2
0.2808,0.0002103,0.7188,2
0.464,0.0003054,0.535,2
0.11035,0.0001596,0.889,2
0.0968,0.0002081,0.903,2
0.8076,0.0002856,0.1921,0
0.27,0.0002006,0.7295,2
0.2842,0.0002073,0.7153,2
0.1874,0.0002582,0.8125,2
0.1311,0.0001538,0.8687,2
0.06165,0.0001414,0.9385,2
0.2024,0.0002235,0.7974,2
0.2333,0.00025,0.766,2
0.05338,0.0001996,0.9463,2
0.1322,0.0001242,0.8677,2
0.05103,0.0001266,0.9487,2
0.04834,0.0001631,0.951,2
0.0711,0.0001501,0.9287,2
0.143,0.0001817,0.857,2
0.03696,0.000602,0.9624,2
0.02803,0.0001527,0.9717,2
0.02237,0.0001531,0.977,2
0.05603,0.0001695,0.9434,2
0.06696,0.0003908,0.9326,2
0.2974,0.000491,0.702,2
0.08594,0.004097,0.9097,2
0.4373,0.0003,0.5625,2
0.2074,0.0002382,0.7925,2
0.1318,0.0001615,0.868,2
0.2998,0.0002642,0.7,2
0.33,0.0003288,0.6694,2
0.04593,0.000261,0.9536,2
0.09406,0.0001671,0.906,2
0.07324,0.0003133,0.9263,2
0.053,0.0001543,0.9473,2
0.00558,0.001678,0.9927,2
0.01023,0.0001904,0.9897,2
0.02051,0.00011486,0.9795,2
0.00517,0.0001742,0.9946,2
0.0634,0.000326,0.9365,2
0.009,0.000178,0.991,2
0.5044,0.0003238,0.4949,0
0.373,0.0001849,0.6274,2
0.069,0.0002878,0.9307,2
0.7812,0.0004563,0.2184,0
0.8853,0.0006065,0.11414,0
0.957,0.000989,0.04178,0
0.733,0.000269,0.267,0
0.9673,0.0306,0.001828,0
0.9385,0.001077,0.06055,0
0.996,0.00252,0.001608,0
0.903,0.0003526,0.0969,0
0.993,0.00334,0.003433,0
0.953,0.000857,0.04584,0
0.7505,0.0003211,0.2493,0
0.5317,0.0002382,0.4683,0
0.4736,0.0002137,0.5264,2
0.4438,0.0002012,0.5557,2
0.494,0.0002099,0.5054,2
0.3738,0.0001992,0.626,2
