class_0_prob,class_1_prob,class_2_prob,pred_class
0.972,6.23e-05,0.02803,0
0.969,6.13e-05,0.03043,0
0.9736,6.1e-05,0.02635,0
0.9897,6.485e-05,0.00991,0
0.9854,7.67e-05,0.01423,0
0.9907,8.404e-05,0.00947,0
0.9893,0.000131,0.01051,0
0.992,0.0001478,0.007507,0
0.987,0.0001021,0.012856,0
0.992,0.0001932,0.007866,0
0.989,0.0001211,0.01075,0
0.993,0.0001884,0.006836,0
0.994,0.0002565,0.00601,0
0.99,0.0004332,0.009346,0
0.9937,0.000338,0.00587,0
0.9883,0.00057,0.01085,0
0.9805,0.0004997,0.01898,0
0.9805,0.00123,0.01804,0
0.9775,0.0008807,0.02132,0
0.987,0.003082,0.01006,0
0.9863,0.001443,0.01232,0
0.987,0.003332,0.009895,0
0.9683,0.0006347,0.03114,0
0.983,0.0003545,0.01617,0
0.803,0.0004172,0.1965,0
0.9346,0.000449,0.0653,0
0.9824,0.0004005,0.017,0
0.9917,0.0008726,0.00751,0
0.9893,0.0005846,0.01058,0
0.9907,0.001458,0.00765,0
0.97,0.0002615,0.02927,0
0.9146,0.0001008,0.0857,0
0.7866,0.0001261,0.2133,0
0.876,8.416e-05,0.1237,0
0.8945,9.5e-05,0.10583,0
0.9175,9.096e-05,0.0821,0
0.8457,0.0001374,0.154,0
0.6606,0.0001559,0.339,0
0.8813,0.0001851,0.11847,0
0.8896,0.0001622,0.11,0
0.831,0.0002687,0.1687,0
0.78,0.000152,0.2197,0
0.771,0.0002003,0.2286,0
0.95,0.0001689,0.04977,0
0.8696,0.0002806,0.1304,0
0.768,0.0001781,0.2324,0
0.866,0.0002193,0.1335,0
0.9272,0.0001682,0.07214,0
0.45,0.0002553,0.55,2
0.6245,0.0003266,0.3752,0
0.4976,0.0002079,0.502,2
0.4858,0.0001906,0.514,2
0.2976,0.0001931,0.702,2
0.09784,0.0002183,0.9023,2
0.2678,0.0002215,0.7314,2
0.1423,0.0001872,0.8574,2
0.11694,0.0001633,0.883,2
0.2197,0.0001373,0.7803,2
0.642,0.00012034,0.3582,0
0.9453,9.3e-05,0.05502,0
0.4321,9.43e-05,0.568,2
0.4727,8.21e-05,0.5273,2
0.4045,8.523e-05,0.595,2
0.2479,9.55e-05,0.752,2
0.04587,8.076e-05,0.954,2
0.2427,0.00011,0.7573,2
0.181,9.894e-05,0.819,2
0.8154,0.0002042,0.1841,0
0.4639,0.00487,0.5312,2
0.2263,0.009,0.7646,2
0.5645,0.00279,0.4321,0
0.2032,0.02322,0.7734,2
0.2498,0.00709,0.743,2
0.442,0.003254,0.5547,2
0.7246,0.0003684,0.275,0
0.4075,0.0004487,0.592,2
0.7656,0.0003068,0.234,0
0.7183,0.000515,0.2812,0
0.9077,0.000409,0.0919,0
0.7886,0.0002365,0.2114,0
0.665,0.000914,0.3342,0
0.731,0.04874,0.2198,0
0.761,0.1289,0.10956,0
0.03644,0.8027,0.1606,1
0.02844,0.9307,0.04095,1
0.00816,0.9766,0.01529,1
0.01487,0.9497,0.03522,1
0.00427,0.961,0.03494,1
0.532,0.271,0.1968,0
0.2952,0.6523,0.05228,1
0.7314,0.2335,0.0349,0
0.952,0.000297,0.04755,0
0.971,0.0002035,0.02864,0
0.975,0.0001477,0.02438,0
0.95,0.0001434,0.0492,0
0.953,0.0003216,0.0465,0
0.849,0.000123,0.1506,0
0.815,0.0001493,0.1848,0
0.629,0.0001727,0.371,0
0.654,0.0001408,0.3462,0
0.9287,9.954e-05,0.07117,0
0.9873,0.0001523,0.0123,0
0.9688,6.235e-05,0.03088,0
0.847,8.535e-05,0.1526,0
0.867,8.55e-05,0.1328,0
0.9844,0.0001445,0.0159,0
0.9897,0.0001891,0.010086,0
0.994,0.0004036,0.00521,0
0.9956,0.0008235,0.003437,0
0.9956,0.0006156,0.003683,0
0.9814,0.0001645,0.01831,0
0.9746,0.0001322,0.02538,0
0.944,0.00011647,0.05585,0
0.8745,9.49e-05,0.1252,0
0.8735,7.904e-05,0.1265,0
0.6562,0.00010985,0.3438,0
0.4863,0.0001404,0.5137,2
0.8833,0.0001587,0.1166,0
0.9272,0.0001015,0.0727,0
0.969,0.000268,0.03,0
0.9893,0.0001336,0.01049,0
0.987,0.0003152,0.01266,0
0.988,0.0001718,0.01248,0
0.97,0.0004566,0.02933,0
0.947,0.000119,0.05255,0
0.951,0.0001714,0.0491,0
0.142,0.0001439,0.858,2
0.374,0.0001773,0.626,2
0.3625,0.0002527,0.6377,2
0.61,0.000201,0.3901,0
0.1967,0.0002205,0.803,2
0.1329,0.0002742,0.867,2
0.3987,0.0002592,0.601,2
0.1948,0.0002592,0.805,2
0.3528,0.0003057,0.647,2
0.5415,0.0002377,0.4583,0
0.901,0.0001211,0.0988,0
0.987,0.0001081,0.01307,0
0.9785,0.0001234,0.021,0
0.878,0.000162,0.1217,0
0.867,0.0002081,0.1329,0
0.5435,0.0001881,0.4565,0
0.623,0.0002341,0.3767,0
0.1562,0.0002499,0.8433,2
0.262,0.0001892,0.738,2
0.3445,0.0004365,0.6553,2
0.1837,0.001153,0.815,2
0.03854,0.001295,0.96,2
0.1796,0.004974,0.8154,2
0.1283,0.01654,0.855,2
0.05112,0.4148,0.534,2
0.0366,0.08453,0.879,2
0.02634,0.013214,0.9604,2
0.07745,0.04346,0.879,2
0.014824,0.017,0.968,2
0.1234,0.00174,0.875,2
0.1388,0.00054,0.861,2
0.4824,0.00078,0.5166,2
0.391,0.0008082,0.6074,2
0.2418,0.001234,0.757,2
0.1726,0.0009284,0.8267,2
0.1724,0.0007253,0.827,2
0.091,0.000517,0.908,2
0.1962,0.0005965,0.8027,2
0.5854,0.0002646,0.4148,0
0.925,0.0003126,0.0746,0
0.9463,0.0006022,0.05347,0
0.8467,0.000305,0.1528,0
0.526,0.0003285,0.474,0
0.6587,0.000206,0.3413,0
0.4045,0.0004022,0.5947,2
0.8364,0.000576,0.1632,0
0.3923,0.0003128,0.608,2
0.5845,0.0003357,0.4153,0
0.84,0.0001931,0.1599,0
0.546,0.0002064,0.454,0
0.874,0.0002632,0.1259,0
0.4753,0.000527,0.524,2
0.6694,0.0004015,0.33,0
0.8867,0.0001452,0.1132,0
0.9575,0.0002165,0.0421,0
0.984,0.003029,0.01298,0
0.976,0.001646,0.02238,0
0.967,0.004433,0.02852,0
0.9697,0.001118,0.02905,0
0.984,0.0006056,0.01497,0
0.9824,0.000531,0.01674,0
0.9346,0.0002108,0.0655,0
0.9194,0.0002668,0.08,0
0.9653,0.0003335,0.03445,0
0.9683,0.0002673,0.0315,0
0.9663,0.0001901,0.0338,0
0.5933,0.000409,0.4062,0
0.516,0.000278,0.4834,0
0.7144,0.000294,0.285,0
0.5825,0.0002333,0.4177,0
0.639,0.0002427,0.3608,0
0.4395,0.000367,0.5596,2
0.2708,0.0003083,0.729,2
0.2053,0.0005803,0.7944,2
0.6685,0.000645,0.331,0
0.628,0.000395,0.3718,0
0.9478,0.000192,0.05212,0
0.9653,0.0001647,0.03442,0
0.6655,0.0001767,0.3345,0
0.962,0.0001444,0.03806,0
0.9194,0.00011,0.08057,0
0.9697,9.394e-05,0.03056,0
0.964,9.11e-05,0.036,0
0.9536,0.0001407,0.0458,0
0.7437,0.0001377,0.2566,0
0.821,0.0001657,0.1793,0
0.904,8.81e-05,0.0959,0
0.937,8.106e-05,0.0631,0
0.947,8.184e-05,0.0532,0
0.977,0.00011754,0.0228,0
0.9707,0.0001991,0.0291,0
0.991,0.0003552,0.008545,0
0.985,0.0002537,0.014885,0
0.9863,0.000347,0.01318,0
0.944,0.0001543,0.05618,0
0.9565,0.0001839,0.04306,0
