class_0_prob,class_1_prob,class_2_prob,pred_class
0.0645,0.0004196,0.935,2
0.0642,0.000585,0.935,2
0.0755,0.001371,0.923,2
0.1649,0.0004954,0.8345,2
0.1458,0.000762,0.853,2
0.836,0.0002496,0.1636,0
0.896,0.000946,0.1033,0
0.3774,0.0005918,0.6216,2
0.3967,0.00038,0.6025,2
0.526,0.001717,0.4722,0
0.65,0.002266,0.3477,0
0.0588,0.0005713,0.9404,2
0.0915,0.0002778,0.908,2
0.187,0.0003643,0.813,2
0.232,0.001183,0.7666,2
0.2727,0.00214,0.725,2
0.00517,0.008484,0.9863,2
0.002012,0.0606,0.9375,2
0.002253,0.03506,0.963,2
0.00552,0.0186,0.976,2
0.003498,0.1895,0.8066,2
0.01892,0.1088,0.872,2
0.01097,0.04855,0.9404,2
0.01201,0.001952,0.986,2
0.0473,0.003042,0.95,2
0.002262,0.013145,0.985,2
0.00616,0.00592,0.9883,2
0.002224,0.007523,0.9907,2
0.01493,0.001712,0.9834,2
0.0872,0.0011,0.9116,2
0.4397,0.000225,0.56,2
0.318,0.0001675,0.682,2
0.796,0.0001273,0.2037,0
0.5635,0.0001248,0.4368,0
0.2368,0.00015,0.7627,2
0.0838,0.00010556,0.916,2
0.01429,0.00012046,0.9854,2
0.011986,0.0001415,0.988,2
0.01648,0.0001378,0.984,2
0.007725,0.0002004,0.992,2
0.001137,0.000875,0.998,2
0.003265,0.0003936,0.996,2
0.005863,0.0003479,0.9937,2
0.005363,0.0002816,0.9946,2
0.00948,0.0002577,0.9897,2
0.00825,0.0003552,0.991,2
0.02818,0.0008025,0.971,2
0.01889,0.001595,0.98,2
0.2035,0.000169,0.7964,2
0.04922,0.0005145,0.95,2
0.02258,0.002665,0.9746,2
0.95,0.000741,0.04922,0
0.8105,0.0003424,0.1891,0
0.7188,0.0002208,0.2812,0
0.9824,0.0004807,0.01675,0
0.9688,0.000757,0.03079,0
0.977,0.000712,0.02176,0
0.9927,0.0009465,0.006355,0
0.9937,0.001986,0.004246,0
0.9897,0.001399,0.0089,0
0.985,0.0006895,0.01412,0
0.9775,0.001164,0.02148,0
0.8853,0.0068,0.1078,0
0.04892,0.001832,0.949,2
0.05902,0.006233,0.935,2
0.013794,0.000639,0.986,2
0.05243,0.000984,0.947,2
0.0573,0.00871,0.9346,2
0.02528,0.0003302,0.974,2
0.5156,0.000273,0.4841,0
0.641,0.0001854,0.359,0
0.1442,0.0001205,0.8555,2
0.03084,0.0001854,0.969,2
0.198,0.0001491,0.802,2
0.914,0.0002527,0.0855,0
0.9146,0.0001279,0.0852,0
0.9907,0.000624,0.00885,0
0.992,0.0004044,0.007683,0
0.983,0.0006065,0.01677,0
0.989,0.000448,0.01098,0
0.9927,0.0014715,0.006233,0
0.9927,0.001489,0.00621,0
0.9897,0.002354,0.00842,0
0.9897,0.00395,0.006443,0
0.99,0.00234,0.00775,0
0.9854,0.001568,0.01328,0
0.767,0.000514,0.232,0
0.581,0.0003905,0.419,0
0.8887,0.0002463,0.11066,0
0.2183,0.0002887,0.7812,2
0.1476,0.0002458,0.8525,2
0.12415,0.0002675,0.8755,2
0.1799,0.0006304,0.82,2
0.007206,0.01206,0.981,2
0.00743,0.006386,0.986,2
0.001209,0.05713,0.9414,2
0.00364,0.02045,0.976,2
0.014725,0.01607,0.969,2
0.004436,0.2168,0.7783,2
0.01417,0.364,0.622,2
0.01613,0.1444,0.8394,2
0.04056,0.06168,0.898,2
0.1636,0.0005374,0.836,2
0.576,0.000589,0.4236,0
0.677,0.0003748,0.323,0
0.4983,0.000499,0.501,2
0.1077,0.001139,0.891,2
0.0362,0.0004945,0.9634,2
0.0316,0.0003414,0.968,2
0.012146,0.00054,0.9873,2
0.014786,0.0004516,0.9844,2
0.000978,0.02206,0.9766,2
0.001603,0.00667,0.9917,2
0.00106,0.00917,0.9897,2
0.00221,0.00426,0.993,2
0.3933,0.1482,0.4583,2
0.01753,0.06006,0.923,2
0.04468,0.348,0.6074,2
0.00897,0.01248,0.9785,2
0.000628,0.11993,0.8794,2
0.001422,0.3596,0.639,2
0.2427,0.0002065,0.7573,2
0.0513,0.0001805,0.948,2
0.0696,0.0001168,0.93,2
0.04346,0.0001357,0.9565,2
0.02327,0.0001207,0.9766,2
0.02484,0.0001289,0.975,2
0.1018,0.0002003,0.8984,2
0.0846,0.0001476,0.915,2
0.03186,0.000187,0.9673,2
0.05045,0.0001758,0.949,2
0.00973,0.0002213,0.99,2
0.01666,0.0001947,0.983,2
0.01145,0.0002828,0.988,2
0.0159,0.000211,0.984,2
0.00852,0.0004404,0.9907,2
0.05856,0.0003066,0.941,2
0.012474,0.000682,0.987,2
0.1289,0.0002751,0.8706,2
0.2834,0.000289,0.7163,2
0.02428,0.01619,0.9595,2
0.7324,0.004086,0.2634,0
0.8994,0.00477,0.096,0
0.8926,0.000917,0.10675,0
0.6045,0.001297,0.394,0
0.8857,0.0002091,0.11414,0
0.9673,0.0003355,0.0324,0
0.959,0.0001261,0.04083,0
0.799,0.0001996,0.201,0
0.4214,0.0001683,0.5786,2
0.976,0.0002582,0.0239,0
0.984,0.0002964,0.01595,0
0.9814,0.0002304,0.01816,0
0.967,0.000287,0.03345,0
0.964,0.0002139,0.036,0
0.9785,0.000447,0.02097,0
0.974,0.000356,0.02547,0
0.913,0.000356,0.08624,0
0.981,0.001658,0.01721,0
0.985,0.002552,0.013,0
0.968,0.001531,0.03082,0
0.856,0.0003703,0.1437,0
0.9536,0.0003598,0.0464,0
0.968,0.000565,0.03165,0
