class_0_prob,class_1_prob,class_2_prob,pred_class
0.0009427,0.00118,0.998,2
0.000998,0.001401,0.9976,2
0.0009174,0.000852,0.998,2
0.000999,0.0007057,0.998,2
0.00102,0.0006933,0.998,2
0.0008135,0.001459,0.9976,2
0.000992,0.002354,0.9966,2
0.001449,0.0007443,0.998,2
0.001763,0.0006933,0.9976,2
0.001467,0.001095,0.9976,2
0.001507,0.00206,0.9966,2
0.001401,0.001493,0.997,2
0.0008974,0.001382,0.9976,2
0.0006804,0.00166,0.998,2
0.0007515,0.001588,0.998,2
0.0006046,0.002073,0.997,2
0.000809,0.001168,0.998,2
0.0008855,0.000698,0.998,2
0.000517,0.002405,0.997,2
0.000944,0.000624,0.998,2
0.0008483,0.000635,0.9985,2
0.00099,0.0006194,0.998,2
0.000954,0.0006924,0.998,2
0.002136,0.0003083,0.997,2
0.001394,0.0004506,0.998,2
0.001822,0.0005083,0.9976,2
0.001819,0.001041,0.997,2
0.0009284,0.002249,0.9966,2
0.000828,0.001657,0.9976,2
0.0004907,0.003592,0.996,2
0.0006137,0.00478,0.9946,2
0.0007806,0.005783,0.993,2
0.00112,0.002266,0.9966,2
0.0007935,0.00371,0.995,2
0.0006094,0.004078,0.9956,2
0.0003407,0.011475,0.9883,2
0.0002801,0.01155,0.9883,2
0.000292,0.01855,0.981,2
0.0002487,0.02925,0.9707,2
0.0004349,0.006844,0.9927,2
0.000332,0.01169,0.988,2
0.0002266,0.03072,0.969,2
0.000164,0.02443,0.9756,2
0.0002983,0.00445,0.995,2
0.0004861,0.001727,0.998,2
0.001023,0.0005856,0.998,2
0.001151,0.000648,0.998,2
0.001286,0.000519,0.998,2
0.001549,0.0006366,0.998,2
0.001229,0.0008516,0.998,2
0.0003636,0.009,0.99,2
0.0006046,0.00261,0.997,2
0.0004106,0.01006,0.9893,2
0.0002823,0.0329,0.967,2
0.0002835,0.02719,0.9727,2
0.0002404,0.06125,0.9385,2
0.000288,0.02527,0.974,2
0.0004117,0.00969,0.9897,2
0.0002376,0.06506,0.935,2
0.0003502,0.01302,0.987,2
0.0003953,0.00909,0.9907,2
0.000665,0.002663,0.997,2
0.0003538,0.006435,0.993,2
0.0008893,0.0010195,0.998,2
0.001741,0.0003753,0.998,2
0.002314,0.0004148,0.9976,2
0.00138,0.000699,0.998,2
0.00114,0.000978,0.998,2
0.001516,0.001326,0.997,2
0.000905,0.00238,0.9966,2
0.0007405,0.004074,0.995,2
0.001186,0.001468,0.997,2
0.001425,0.00166,0.997,2
0.00102,0.001324,0.9976,2
0.002317,0.000534,0.9976,2
0.003033,0.0002635,0.9966,2
0.002144,0.000663,0.997,2
0.001027,0.002674,0.9966,2
0.0007653,0.00213,0.997,2
0.001359,0.000658,0.998,2
0.001104,0.000894,0.998,2
0.001564,0.0005436,0.998,2
0.001148,0.000982,0.998,2
0.001238,0.001363,0.9976,2
0.001336,0.001228,0.9976,2
0.00058,0.010025,0.9893,2
0.000743,0.01514,0.984,2
0.000857,0.05743,0.942,2
0.001731,0.001619,0.9966,2
0.0006986,0.004093,0.9956,2
0.003592,0.0003302,0.996,2
0.002922,0.000657,0.9966,2
0.004883,0.0004723,0.994,2
0.0017805,0.0012865,0.997,2
0.000732,0.003769,0.9956,2
0.001945,0.0005364,0.9976,2
0.002415,0.0003595,0.997,2
0.004856,0.000222,0.995,2
0.003838,0.0003326,0.9956,2
0.005257,0.0002775,0.994,2
0.004574,0.0002419,0.995,2
0.001871,0.0003662,0.998,2
0.0007215,0.0006833,0.9985,2
0.001187,0.000552,0.998,2
0.0006084,0.000896,0.9985,2
0.001083,0.0004768,0.998,2
0.0004702,0.003628,0.996,2
0.0003905,0.005703,0.9937,2
0.0007763,0.001733,0.9976,2
0.0005956,0.001774,0.997,2
0.000582,0.002909,0.9966,2
0.000738,0.001581,0.998,2
0.001268,0.000769,0.998,2
0.000973,0.00074,0.998,2
0.001755,0.0005026,0.998,2
0.001844,0.0003881,0.998,2
0.001709,0.00068,0.9976,2
0.001928,0.0005407,0.9976,2
0.001434,0.000552,0.998,2
0.001549,0.0005617,0.998,2
0.001372,0.00054,0.998,2
0.002605,0.0002668,0.997,2
0.004005,0.0001754,0.996,2
0.006657,0.0001602,0.993,2
0.006653,0.0001723,0.993,2
0.012566,0.0001702,0.9873,2
0.007328,0.0001845,0.992,2
0.00575,0.0001975,0.994,2
0.01385,0.0001502,0.9863,2
0.00843,0.000183,0.9917,2
0.00486,0.0002376,0.995,2
0.003342,0.0003202,0.996,2
0.002132,0.0005083,0.9976,2
0.000553,0.00517,0.994,2
0.0003774,0.01331,0.9863,2
0.0002267,0.1108,0.8887,2
0.0002444,0.1964,0.803,2
0.0002127,0.4526,0.5474,2
0.0001757,0.747,0.2527,1
0.000587,0.10156,0.898,2
0.0003202,0.381,0.6187,2
0.0001929,0.597,0.4026,1
0.0003686,0.3704,0.6294,2
0.0002398,0.4873,0.5127,2
0.000145,0.6797,0.32,1
0.001062,0.0105,0.989,2
0.0006676,0.01266,0.987,2
0.001602,0.002626,0.9956,2
0.003317,0.000411,0.996,2
0.007782,0.0002959,0.9917,2
0.007698,0.0001734,0.992,2
0.01037,0.0001574,0.9893,2
0.008545,0.0001738,0.991,2
