class_0_prob,class_1_prob,class_2_prob,pred_class
0.9634,0.0006027,0.03604,0
0.9717,0.0007477,0.02779,0
0.9727,0.0007834,0.02647,0
0.9834,0.000716,0.01584,0
0.989,0.001237,0.009995,0
0.9834,0.000673,0.015594,0
0.9814,0.0009546,0.01714,0
0.976,0.000883,0.02353,0
0.976,0.000616,0.02351,0
0.971,0.0005155,0.02834,0
0.9463,0.0003288,0.0539,0
0.9575,0.0004325,0.04214,0
0.9746,0.0005136,0.02473,0
0.9844,0.0005865,0.01458,0
0.9883,0.000855,0.011314,0
0.989,0.000836,0.00998,0
0.989,0.000733,0.01021,0
0.992,0.0007286,0.006912,0
0.9897,0.0008154,0.00952,0
0.9883,0.0008993,0.01061,0
0.986,0.000974,0.01285,0
0.9844,0.0004282,0.01528,0
0.976,0.0003185,0.02382,0
0.969,0.0002675,0.03053,0
0.9644,0.0003858,0.0354,0
0.9834,0.0004754,0.01584,0
0.991,0.0006,0.00832,0
0.99,0.0004861,0.00929,0
0.9893,0.000498,0.010216,0
0.992,0.0004497,0.007324,0
0.993,0.00058,0.006393,0
0.989,0.000881,0.01015,0
0.988,0.00063,0.01167,0
0.987,0.0008683,0.012054,0
0.986,0.0006957,0.01333,0
0.9717,0.0003774,0.028,0
0.968,0.0004103,0.03198,0
0.9624,0.000709,0.0373,0
0.982,0.000578,0.01717,0
0.988,0.0007005,0.0113,0
0.987,0.0005307,0.01287,0
0.9917,0.000556,0.00767,0
0.994,0.000737,0.005386,0
0.9917,0.001045,0.00706,0
0.9917,0.001385,0.006603,0
0.9873,0.001176,0.01169,0
0.9883,0.0009384,0.01076,0
0.984,0.0006447,0.01514,0
0.975,0.0003986,0.02444,0
0.9766,0.0008044,0.02283,0
0.984,0.000948,0.0148,0
0.9883,0.0009723,0.01084,0
0.9893,0.001015,0.009796,0
0.9897,0.0006747,0.009514,0
0.9907,0.000681,0.00907,0
0.9927,0.000624,0.006813,0
0.9893,0.000771,0.00975,0
0.9897,0.000875,0.00963,0
0.989,0.0008655,0.010185,0
0.9854,0.000619,0.013985,0
0.9814,0.000442,0.01833,0
