class_0_prob,class_1_prob,class_2_prob,pred_class
0.993,0.003723,0.002743,0
0.986,0.00835,0.005436,0
0.9883,0.00587,0.00563,0
0.9917,0.003456,0.004894,0
0.989,0.00482,0.00626,0
0.988,0.004803,0.007233,0
0.99,0.004475,0.005573,0
0.989,0.00327,0.00831,0
0.9814,0.00865,0.00964,0
0.9346,0.05627,0.00945,0
0.927,0.0649,0.00786,0
0.986,0.01018,0.00421,0
0.982,0.01517,0.003399,0
0.9727,0.02489,0.002672,0
0.981,0.01724,0.002163,0
0.977,0.02101,0.00178,0
0.9863,0.01194,0.001882,0
0.982,0.01624,0.001631,0
0.9805,0.01796,0.001572,0
0.987,0.01111,0.001671,0
0.9907,0.00743,0.00156,0
0.9917,0.0063,0.001701,0
0.9893,0.00963,0.00147,0
0.9927,0.005974,0.001724,0
0.99,0.00793,0.001644,0
0.9907,0.00703,0.0019245,0
0.9917,0.00555,0.002977,0
0.989,0.00451,0.006824,0
0.9927,0.003,0.004322,0
0.9946,0.002934,0.002598,0
0.996,0.002089,0.002039,0
0.995,0.002684,0.002102,0
0.9946,0.003172,0.001735,0
0.9956,0.003008,0.00178,0
0.9946,0.003439,0.001796,0
0.9946,0.003235,0.001792,0
0.9946,0.00334,0.001602,0
0.9946,0.003284,0.00184,0
0.994,0.004353,0.001712,0
0.992,0.00614,0.001833,0
0.9927,0.00433,0.003035,0
0.9917,0.005207,0.00336,0
0.9897,0.003382,0.00678,0
0.9907,0.004272,0.004967,0
0.9917,0.00447,0.00421,0
0.9917,0.004776,0.003641,0
0.9907,0.005585,0.003841,0
0.9854,0.01144,0.003227,0
0.985,0.012665,0.002539,0
0.975,0.0224,0.002434,0
0.9785,0.01894,0.002623,0
0.8794,0.119,0.0016575,0
0.9746,0.02159,0.003422,0
0.914,0.08307,0.002842,0
0.9775,0.01688,0.005108,0
0.8706,0.1268,0.002445,0
0.9795,0.015076,0.005493,0
0.986,0.0097,0.00417,0
0.9893,0.005875,0.005318,0
0.8096,0.1886,0.002266,0
0.859,0.1384,0.002216,0
0.883,0.11426,0.002457,0
0.922,0.07623,0.002035,0
0.9717,0.02603,0.002605,0
0.953,0.04437,0.002357,0
0.9775,0.01767,0.004375,0
0.98,0.015564,0.004166,0
0.984,0.01038,0.005703,0
0.9795,0.01671,0.004055,0
0.989,0.00642,0.004745,0
0.9897,0.005844,0.004795,0
0.9917,0.003983,0.00426,0
0.992,0.003775,0.004265,0
0.992,0.00423,0.003893,0
0.988,0.00833,0.003742,0
0.9863,0.010124,0.003448,0
0.99,0.00579,0.004242,0
0.989,0.0063,0.004658,0
0.992,0.00411,0.003899,0
0.9897,0.005142,0.00534,0
0.9917,0.003689,0.005096,0
0.9927,0.0037,0.003824,0
0.988,0.002731,0.00951,0
0.993,0.003614,0.002798,0
0.995,0.00272,0.002392,0
0.994,0.00347,0.002373,0
0.9844,0.01206,0.003305,0
0.9907,0.00606,0.003075,0
0.991,0.005764,0.002674,0
0.992,0.00471,0.003263,0
0.9917,0.00568,0.003319,0
0.9917,0.00517,0.003468,0
0.9917,0.004173,0.003983,0
0.9907,0.00363,0.006,0
0.9883,0.004734,0.006554,0
0.9873,0.003666,0.00904,0
0.9907,0.003513,0.005955,0
