class_0_prob,class_1_prob,class_2_prob,class_3_prob,class_4_prob,class_5_prob,pred_class
0.1964,0.8027,2.77e-05,0.001035,7e-07,0.0002308,1
0.345,0.6543,2.59e-05,0.0001782,4e-06,0.000345,1
0.5913,0.4072,2.414e-05,0.000534,3e-06,0.001054,0
0.768,0.2188,2.6e-05,0.0081,4e-06,0.004726,0
0.811,0.16,2.08e-05,0.002928,1.12e-05,0.02579,0
0.9614,0.03635,8.3e-06,0.0004125,9.5e-07,0.002151,0
0.9287,0.0682,1.186e-05,0.0005054,1.264e-05,0.003237,0
0.8984,0.0965,1.11e-05,0.0002835,1.4e-05,0.00492,0
0.9214,0.0743,1.967e-05,0.0005016,1.48e-05,0.003765,0
0.8433,0.1527,6.264e-05,0.0002763,7.75e-06,0.004208,0
0.769,0.2286,4.31e-05,0.0001565,7.5e-06,0.002018,0
0.9863,0.00532,2.825e-05,0.0003562,1.55e-06,0.00806,0
0.5996,0.3909,9.27e-05,0.00634,1.9e-06,0.003212,0
0.712,0.2815,9.27e-05,0.002724,1.7e-06,0.003407,0
0.867,0.1251,1.276e-05,0.004097,2.4e-06,0.003897,0
0.876,0.0996,1.603e-05,0.01334,2.5e-06,0.01093,0
0.9595,0.02818,1.5e-06,0.00554,4.2e-06,0.006447,0
0.7935,0.1891,2.74e-06,0.0009565,4.1e-06,0.01614,0
0.883,0.0508,1.43e-06,0.0004387,5.8e-06,0.0656,0
0.952,0.007156,6.6e-07,0.0001626,1.22e-05,0.04068,0
0.986,0.001155,5e-07,0.0003152,4.1e-06,0.01265,0
0.9775,0.01952,1.7e-06,0.000924,1.8e-06,0.001808,0
0.9634,0.02199,1.7e-06,0.00415,1.5e-06,0.01022,0
0.9756,0.01617,2.26e-06,0.00252,2.4e-06,0.005577,0
0.969,0.00841,1.85e-06,0.0003874,3.34e-06,0.02187,0
0.9536,0.03622,2.5e-06,0.001294,5.9e-06,0.00917,0
0.9893,0.0012865,2.26e-06,0.0004206,4.99e-05,0.00892,0
0.9644,0.02823,9.83e-06,0.003748,4.584e-05,0.003494,0
0.9517,0.0395,5.96e-06,0.003853,2.16e-05,0.00479,0
0.989,0.00451,2.5e-06,0.001771,1.51e-05,0.005196,0
0.9946,0.001223,1.2e-06,0.0002036,0.000236,0.0036,0
0.988,0.002365,1.2e-06,3.91e-05,0.002073,0.007298,0
0.994,0.003029,1.7e-06,3.38e-05,0.000359,0.00272,0
0.9937,0.00146,9e-07,2.35e-05,0.00119,0.003414,0
0.9893,0.000381,8e-07,0.00011647,4.685e-05,0.010056,0
0.9966,0.000341,2e-06,0.000548,1.91e-05,0.002672,0
0.9966,5.46e-05,4.77e-06,0.000534,4.73e-05,0.0027,0
0.992,0.0006332,5.84e-06,0.0004268,3.62e-05,0.006664,0
0.9927,0.0001413,2.15e-06,5.716e-05,0.0001343,0.00745,0
0.998,0.0006175,5.7e-06,5.99e-05,1.67e-05,0.001544,0
0.9985,0.000218,4.2e-06,2.17e-05,3.28e-05,0.001513,0
0.9995,3.02e-05,5.54e-06,3.576e-05,3.654e-05,0.000586,0
1.0,5.287e-05,7.5e-06,0.0001054,1.25e-06,0.0002147,0
0.9995,0.0002095,9.1e-06,0.00012046,5e-07,0.000229,0
0.999,0.0007734,6.02e-05,2.52e-05,2e-07,0.0002081,0
0.9995,0.000248,9.66e-06,7e-06,5e-07,0.0002354,0
0.9995,0.0005875,1.055e-05,1.59e-05,2.4e-07,0.0002708,0
0.9985,0.0008373,9.24e-06,0.0001549,1e-07,4.52e-05,0
