class_0_prob,class_1_prob,class_2_prob,pred_class
0.0006886,0.002924,0.9966,2
0.000298,0.000722,0.999,2
0.0009575,0.0003564,0.9985,2
0.000988,0.001602,0.9976,2
0.002853,0.000503,0.9966,2
0.0003698,0.0526,0.947,2
0.01056,0.04373,0.946,2
0.000836,0.02646,0.972,2
0.0003698,0.02278,0.977,2
0.0008993,0.3303,0.669,2
0.001539,0.002344,0.9966,2
0.0096,0.01046,0.9795,2
0.00949,0.0007706,0.9897,2
0.01888,0.002913,0.978,2
0.01078,0.0003824,0.989,2
0.008286,0.001972,0.9897,2
0.006416,0.001066,0.9927,2
0.0956,0.007484,0.8965,2
0.0773,0.000988,0.9214,2
0.01406,0.001673,0.984,2
0.00397,0.00527,0.9907,2
0.004337,0.002737,0.993,2
0.001401,0.003054,0.995,2
0.00527,0.001406,0.993,2
0.02934,0.000768,0.9697,2
0.01791,0.001077,0.981,2
0.01156,0.003883,0.9844,2
0.007133,0.001481,0.991,2
0.07935,0.001713,0.919,2
0.00907,0.002935,0.988,2
0.002846,0.0138,0.9834,2
0.0008435,0.003386,0.996,2
0.00199,0.00419,0.9937,2
0.003727,0.0008073,0.9956,2
0.002686,0.000293,0.9966,2
0.001296,0.0003686,0.998,2
0.001231,0.0006237,0.998,2
0.001395,0.001166,0.997,2
0.0001982,0.002018,0.998,2
0.0002048,0.004795,0.995,2
0.001299,0.000436,0.998,2
0.003632,0.0002136,0.996,2
0.002703,0.0001415,0.9976,2
0.0082,0.0002823,0.9917,2
0.01525,0.0001723,0.9844,2
0.013466,0.0004346,0.986,2
0.004322,0.0004027,0.9956,2
0.05228,0.000764,0.9473,2
0.03687,0.001358,0.9614,2
0.00924,0.00034,0.99,2
0.01636,0.01048,0.973,2
0.01398,0.01308,0.973,2
0.05045,0.03604,0.913,2
0.000962,0.008156,0.9907,2
0.02138,0.0003688,0.9785,2
0.01578,0.000292,0.9844,2
0.00743,0.0006027,0.992,2
0.00911,0.001078,0.9897,2
0.002277,0.001837,0.996,2
0.01293,0.001669,0.9854,2
0.01305,0.002394,0.985,2
0.01179,0.0001792,0.9883,2
0.02174,0.0010195,0.9775,2
0.00967,0.0003815,0.9897,2
0.01335,0.0004694,0.9863,2
0.02274,0.0009775,0.9766,2
0.06476,0.001732,0.933,2
0.010155,0.00459,0.9854,2
0.001377,0.002129,0.9966,2
0.01117,0.001601,0.9873,2
0.002146,0.005997,0.9917,2
0.002453,0.002363,0.995,2
0.01103,0.001508,0.9873,2
0.001696,0.001296,0.997,2
0.01416,0.0007625,0.9854,2
0.00358,0.00305,0.9937,2
0.0568,0.001813,0.941,2
0.01187,0.001081,0.987,2
0.0945,0.0348,0.8706,2
0.00952,0.00363,0.987,2
0.02249,0.001881,0.976,2
0.002752,0.0405,0.9565,2
0.07983,0.03041,0.8896,2
0.1686,0.00226,0.829,2
0.003561,0.00481,0.9917,2
0.01291,0.000789,0.9863,2
0.001886,0.00922,0.989,2
0.004498,0.001993,0.993,2
0.002035,0.0011,0.997,2
0.1769,0.000838,0.8223,2
0.00696,0.003798,0.9893,2
0.005116,0.000248,0.9946,2
0.04312,0.0002599,0.9565,2
0.07855,0.0001459,0.9214,2
0.00631,0.0007133,0.993,2
0.0118,0.0004222,0.988,2
0.0376,0.000498,0.962,2
0.04596,0.0003726,0.9536,2
0.2487,0.0003402,0.751,2
0.008835,0.001482,0.9897,2
0.05106,0.0005584,0.948,2
0.006603,0.000523,0.9927,2
0.0089,0.000408,0.99,2
0.02676,0.00324,0.9697,2
0.0813,0.001993,0.9165,2
0.07556,0.00182,0.923,2
0.1048,0.000867,0.8945,2
0.1676,0.001691,0.831,2
0.099,0.00283,0.8984,2
0.139,0.001978,0.859,2
0.08344,0.00594,0.9106,2
0.01762,0.003868,0.979,2
0.01657,0.005054,0.978,2
0.00831,0.001507,0.9907,2
0.005787,0.002958,0.991,2
0.1484,0.00405,0.8477,2
0.002079,0.001771,0.996,2
0.005535,0.001742,0.993,2
0.01045,0.0002456,0.9893,2
0.001365,0.0004778,0.998,2
0.003805,0.0003157,0.996,2
0.001336,0.000269,0.9985,2
0.0009427,0.0003324,0.9985,2
0.005253,0.001093,0.9937,2
0.002642,0.0001686,0.9976,2
0.004517,0.0001388,0.9956,2
0.0451,0.000216,0.955,2
0.00214,0.0001862,0.9976,2
0.00552,0.000766,0.9937,2
0.000839,0.0006356,0.998,2
0.002365,0.0004244,0.997,2
0.003498,0.002796,0.9937,2
0.00748,0.001226,0.9907,2
0.04337,0.0001154,0.957,2
0.00675,0.000359,0.993,2
0.001743,0.0005627,0.9976,2
0.001421,0.0007577,0.9976,2
0.003784,0.0003195,0.996,2
0.0002995,0.001932,0.9976,2
0.0002396,0.001945,0.9976,2
0.001257,0.0002794,0.9985,2
0.001247,0.013985,0.985,2
0.001361,0.001095,0.9976,2
0.002516,0.0002866,0.9976,2
0.0006905,0.0009184,0.998,2
0.0002964,0.008446,0.9917,2
