class_0_prob,class_1_prob,class_2_prob,pred_class
0.7666,0.0002093,0.233,0
0.9697,9.453e-05,0.02979,0
0.971,6.88e-05,0.02888,0
0.9907,8.67e-05,0.00885,0
0.9907,7.36e-05,0.009415,0
0.9917,7.22e-05,0.00844,0
0.9907,9.56e-05,0.00898,0
0.9937,0.0001332,0.006367,0
0.989,0.0001201,0.010994,0
0.991,0.0001947,0.00866,0
0.9927,0.0002218,0.007027,0
0.9937,0.0003514,0.005646,0
0.9956,0.001283,0.002842,0
0.995,0.0011835,0.003775,0
0.9966,0.0007596,0.002829,0
0.996,0.0003605,0.003595,0
0.9937,0.0001462,0.006363,0
0.986,0.0002085,0.01371,0
0.985,0.000223,0.01532,0
0.9834,0.000316,0.01628,0
0.982,0.0001702,0.01752,0
0.965,0.0001167,0.03506,0
0.9736,0.0001364,0.02608,0
0.977,0.000135,0.0232,0
0.9927,0.0003057,0.007324,0
0.9917,0.000262,0.00803,0
0.9946,0.00058,0.005276,0
0.995,0.0005827,0.004406,0
0.9946,0.0003169,0.004604,0
0.994,0.0003436,0.005215,0
0.996,0.0005035,0.003471,0
0.996,0.0003586,0.003454,0
0.992,0.0001304,0.007175,0
0.9907,0.0001176,0.00939,0
0.978,6.676e-05,0.02203,0
0.9844,0.0001077,0.01585,0
0.9775,0.0001335,0.0218,0
0.9277,0.0001562,0.07166,0
0.9165,0.0002366,0.083,0
0.9463,0.0002468,0.05356,0
0.9683,0.000258,0.0314,0
0.954,0.0004032,0.04553,0
0.977,0.00010854,0.02325,0
0.948,9.52e-05,0.05112,0
0.9395,6.79e-05,0.06055,0
0.914,6.92e-05,0.08594,0
0.97,0.000115,0.02995,0
0.96,7.47e-05,0.0399,0
0.9697,8.34e-05,0.02994,0
0.9814,0.0001256,0.01865,0
0.979,0.00011665,0.02074,0
0.982,0.000163,0.0177,0
0.985,0.000169,0.015175,0
0.9775,0.0001732,0.02196,0
0.945,0.0001628,0.0552,0
0.9404,0.0001531,0.0593,0
0.833,0.00011265,0.1672,0
0.954,9.745e-05,0.0454,0
0.908,0.00010085,0.0918,0
0.9844,0.00011086,0.015434,0
0.991,0.0002441,0.008606,0
0.9893,0.0001721,0.01091,0
0.993,0.0004137,0.0068,0
0.989,0.0002012,0.010956,0
0.9873,0.0001576,0.01225,0
0.9917,0.0003397,0.00805,0
0.988,0.000254,0.01191,0
0.9946,0.0002804,0.004875,0
0.992,0.0001081,0.007645,0
0.986,8.494e-05,0.013954,0
0.98,5.24e-05,0.01997,0
0.9883,6.43e-05,0.01148,0
0.9746,5.16e-05,0.02516,0
0.9717,5.394e-05,0.02864,0
0.9756,4.613e-05,0.0246,0
0.9746,8.87e-05,0.02577,0
0.7935,0.0001334,0.2063,0
0.4583,0.0002021,0.5415,2
0.894,0.0001496,0.1061,0
0.59,0.0001628,0.41,0
0.682,0.0002053,0.3179,0
0.795,0.0003219,0.2047,0
0.851,0.0005813,0.1487,0
0.873,0.0001534,0.1268,0
0.836,0.0001199,0.1636,0
0.781,0.0001823,0.2188,0
0.788,0.0002809,0.2114,0
0.644,0.0004182,0.3557,0
0.646,0.0001576,0.3538,0
0.6313,0.0001009,0.3687,0
0.6055,0.00011635,0.395,0
0.1848,9.453e-05,0.815,2
0.06128,0.0004458,0.938,2
0.1434,0.003906,0.8525,2
0.442,0.001802,0.5566,2
0.853,0.0009527,0.1461,0
0.8364,0.002481,0.1608,0
0.9795,0.006992,0.013245,0
0.977,0.0003922,0.02248,0
0.9683,0.00032,0.03117,0
0.9844,0.0003607,0.0149,0
0.99,0.000463,0.00947,0
0.9917,0.0003214,0.007664,0
0.995,0.000675,0.004215,0
0.995,0.000635,0.0041,0
0.993,0.0008364,0.005753,0
0.991,0.0003603,0.008064,0
0.987,0.0002277,0.01263,0
0.9863,0.0003548,0.01309,0
0.9604,0.0001213,0.0395,0
0.7295,8.1e-05,0.2703,0
0.862,6.89e-05,0.1382,0
0.632,7.087e-05,0.3674,0
0.6514,7.06e-05,0.3486,0
0.846,6.634e-05,0.1537,0
0.744,0.0001212,0.2559,0
0.936,0.0001622,0.0634,0
0.891,0.0001108,0.10895,0
0.907,9.876e-05,0.0928,0
0.9434,9.114e-05,0.05667,0
0.9697,0.0001909,0.03015,0
0.951,0.0001427,0.04852,0
0.9463,0.00010586,0.05365,0
0.9453,8.64e-05,0.05478,0
0.9,0.0001314,0.0999,0
0.9355,9.185e-05,0.0644,0
0.9556,8.327e-05,0.04446,0
0.9756,0.0001247,0.02455,0
0.9785,0.0002863,0.02132,0
0.9697,0.0001723,0.02983,0
0.962,0.0001144,0.03815,0
0.9766,0.0001228,0.02324,0
0.982,0.0001502,0.01788,0
0.9106,0.0001155,0.0898,0
0.943,0.000162,0.05737,0
0.958,0.0003126,0.04172,0
0.8667,0.0001154,0.1334,0
0.729,0.0001312,0.2712,0
0.9526,7.576e-05,0.04758,0
0.858,0.000104,0.1422,0
0.4775,9.03e-05,0.5225,2
0.4614,0.0001068,0.5386,2
0.2445,0.00011414,0.7554,2
0.3564,0.0001345,0.643,2
0.2197,0.00010175,0.7803,2
0.334,9.56e-05,0.666,2
0.3184,0.000147,0.6816,2
0.262,0.000209,0.738,2
0.8574,7.27e-05,0.1425,0
0.843,8.98e-05,0.1576,0
0.926,0.0001289,0.07416,0
0.904,0.0001537,0.09564,0
0.944,0.0002166,0.05603,0
0.8496,0.0001237,0.15,0
0.8555,0.0001187,0.1444,0
0.8945,0.0001236,0.10504,0
0.512,0.0001286,0.4878,0
0.8247,0.0001725,0.1749,0
0.8945,0.0001838,0.1058,0
0.876,0.0001056,0.1237,0
0.9404,8.58e-05,0.0591,0
0.9688,5.394e-05,0.0309,0
0.923,5.27e-05,0.0769,0
0.9727,8.184e-05,0.02713,0
0.95,6.896e-05,0.04977,0
0.8926,5.454e-05,0.1075,0
0.829,4.32e-05,0.1707,0
0.912,5.215e-05,0.08795,0
0.9565,5.7e-05,0.04343,0
0.957,6.46e-05,0.0427,0
0.9727,0.0002401,0.02707,0
0.987,0.0002232,0.01256,0
0.9927,0.0005565,0.00642,0
0.9937,0.0003934,0.005657,0
0.991,0.0001932,0.00853,0
0.9937,0.0002754,0.00615,0
0.9927,0.0002306,0.007046,0
0.988,0.0003815,0.01139,0
0.983,0.0001247,0.01685,0
0.9785,0.0001893,0.02129,0
0.9155,8.4e-05,0.08405,0
0.6543,9.89e-05,0.3455,0
0.8115,7.13e-05,0.1886,0
0.873,5.59e-05,0.1267,0
0.9326,0.0001385,0.06714,0
0.875,0.000222,0.125,0
0.9097,0.0001556,0.08984,0
0.97,0.000255,0.02968,0
0.897,0.00011736,0.10315,0
0.95,7.25e-05,0.04968,0
0.68,9.704e-05,0.3196,0
0.761,0.0001249,0.2383,0
0.881,0.0001403,0.1187,0
0.8745,9.5e-05,0.1254,0
0.8955,8.07e-05,0.10425,0
0.9106,4.88e-05,0.0893,0
0.948,5.17e-05,0.0517,0
0.9707,5.85e-05,0.02974,0
0.991,0.0002499,0.00849,0
0.9927,0.0007343,0.006668,0
0.9863,0.0003219,0.01288,0
0.9897,0.0003295,0.01015,0
0.991,0.0003364,0.00847,0
0.995,0.000547,0.00426,0
0.9956,0.001039,0.003044,0
0.9956,0.00299,0.001847,0
0.994,0.000864,0.005013,0
0.9946,0.0004447,0.0051,0
0.9956,0.001459,0.00287,0
0.994,0.000741,0.004997,0
0.9883,0.0001415,0.01206,0
0.993,0.0001687,0.00686,0
0.9463,4.43e-05,0.0533,0
0.927,4.447e-05,0.0735,0
0.5903,5.04e-05,0.4097,0
0.846,4.33e-05,0.154,0
0.6636,5.215e-05,0.336,0
0.8203,5.88e-05,0.1794,0
0.941,4.32e-05,0.05878,0
0.9395,7.99e-05,0.0604,0
0.9805,8.92e-05,0.01917,0
0.9897,9.08e-05,0.00985,0
0.992,9.91e-05,0.007687,0
0.9897,7.945e-05,0.010315,0
0.9863,6.83e-05,0.01388,0
0.983,8.01e-05,0.01709,0
0.9883,0.0001132,0.01145,0
0.987,7.74e-05,0.01314,0
0.9663,4.44e-05,0.03394,0
0.9756,2.813e-05,0.02429,0
0.9897,6.36e-05,0.01033,0
0.9956,0.0001403,0.00443,0
0.9863,0.00011504,0.01357,0
0.9883,8.714e-05,0.01192,0
0.9443,8.8e-05,0.05573,0
0.955,8.386e-05,0.0448,0
0.74,9.52e-05,0.2598,0
0.86,6.24e-05,0.1398,0
0.753,0.0001045,0.247,0
0.8115,0.0001307,0.1881,0
0.611,0.0001451,0.3887,0
0.923,0.0001543,0.0772,0
0.977,0.0002433,0.02214,0
0.993,0.000521,0.00607,0
0.995,0.001453,0.003326,0
0.995,0.000562,0.00427,0
0.9937,0.0003867,0.005814,0
0.9956,0.000703,0.003637,0
0.997,0.0004373,0.002714,0
0.996,0.0002092,0.003864,0
0.997,0.0002259,0.002205,0
0.995,6.08e-05,0.004642,0
0.9956,6.473e-05,0.0041,0
0.997,0.0001394,0.0026,0
0.997,0.0001352,0.002716,0
0.995,7.045e-05,0.004997,0
0.994,0.00011176,0.005463,0
0.9927,0.0002245,0.00694,0
0.9966,0.000248,0.003035,0
0.997,0.0003288,0.002893,0
0.996,0.0001818,0.003756,0
0.996,0.0004601,0.003307,0
0.9966,0.0002266,0.0032,0
0.9966,0.0002532,0.003107,0
0.9917,0.0001464,0.007748,0
0.987,0.0001416,0.01277,0
0.9824,0.0001366,0.01697,0
0.957,0.00010026,0.04288,0
0.9814,0.0001534,0.01837,0
0.9517,9.77e-05,0.04788,0
0.9575,7.32e-05,0.04214,0
0.983,0.0001133,0.01733,0
0.7437,8.87e-05,0.2566,0
0.8564,8.97e-05,0.143,0
0.909,0.00010437,0.0909,0
0.9316,0.0002025,0.06805,0
0.9834,0.0002706,0.01668,0
0.9727,0.0001963,0.02705,0
0.982,0.0002116,0.01772,0
0.9834,0.0001105,0.01634,0
0.9893,0.0002198,0.01051,0
0.9956,0.0002844,0.00453,0
0.9966,0.000607,0.002756,0
0.9976,0.0007067,0.001763,0
0.997,0.0009074,0.001535,0
0.9985,0.0004365,0.001567,0
0.9966,0.0001478,0.003077,0
0.998,0.0003633,0.001987,0
0.9985,0.0003057,0.001592,0
0.998,0.000447,0.001647,0
0.9976,0.0004973,0.001974,0
0.9976,0.0006237,0.001839,0
0.998,0.0005064,0.0018215,0
0.997,0.0002134,0.002363,0
0.995,0.0001607,0.00498,0
0.9937,0.0001906,0.005962,0
0.995,0.0004573,0.00437,0
0.997,0.0005336,0.00245,0
0.9917,0.000277,0.008026,0
0.988,0.0001253,0.01235,0
0.994,0.0002537,0.006145,0
0.992,0.0002251,0.00807,0
0.9937,0.0003314,0.00633,0
0.988,0.0001932,0.01215,0
0.991,0.0002424,0.00841,0
0.994,0.000128,0.005394,0
